	"ER+/LN+"	"ER+/LN+"	"ER+/LN+"	"ER-/LN+"	"ER-/LN+"	"ER-/LN+"	"ER-/LN+"	"ER+/LN+"	"ER+/LN+"	"ER+/LN+"	"ER+/LN-"	"ER+/LN-"	"ER-/LN-"	"ER-/LN-"	"ER-/LN-"	"ER-/LN-"	"ER+/LN-"	"ER+/LN-"	"ER+/LN-"	"ER+/LN-"	"ER+/LN+"	"ER+/LN+"	"ER-/LN-"	"ER-/LN-"	"ER +/LN+"	"ER-/LN+"	"ER-/LN-"	"ER-/LN-"	"ER-/LN+"	"ER-/LN+"	"ER+/LN-"	"ER+/LN+"	"ER+/LN+"	"ER+/LN+"	"ER+/LN+"	"ER+/LN-"	"ER+/LN-"	"ER+/LN-"	"ER+/LN-"	"ER+/LN-"	"ER-/LN+"	"ER-/LN+"	"ER-/LN+"	"ER-/LN+"	"ER-/LN-"	"ER-/LN-"	"ER-/LN-"	"ER-/LN-"	"ER-/LN-"
"S50223_at"	176	10	10	173	10	272	10	40	81	28	100	398	10	55	10	82	54	41	10	10	257	10	10	695	59	87	63	148	11	10	101	58	20	67	19	69	10	10	10	34	19	96	44	131	157	187	403	640	212
"S58733_at"	312	51	157	321	267	124	10	278	508	72	10	286	122	212	521	255	44	163	401	176	189	313	46	174	10	10	141	10	10	10	79	67	10	106	216	259	201	10	300	154	282	250	347	99	10	10	429	10	10
"S62028_s_at"	10	101	10	97	225	128	30	68	234	110	577	10	102	33	10	10	471	58	10	10	357	10	85	40	184	246	265	90	152	787	55	29	10	10	10	10	10	10	10	10	10	10	10	78	10	41	291	10	10
"S67156_at"	72	31	50	71	101	48	39	40	10	10	10	10	10	52	60	10	223	20	327	62	110	10	108	66	211	139	85	60	10	390	210	10	231	105	95	44	10	303	19	52	43	15	10	69	10	36	10	198	10
"S69115_at"	10	10	10	214	10	10	182	10	41	10	10	10	341	356	143	477	208	264	10	112	10	236	10	352	10	106	704	393	308	10	15	10	125	130	63	16	408	10	156	203	809	89	10	64	315	159	368	120	126
"S70585_rna1_at"	10	2767	10244	214	10	10	10	10	10	10	56	10	10	10	10	10	10	10	10	81	10	132	10	10	10	10	10	10	10	10	10	10	4570	152	10	10	102	1406	10	10	10	10	71	10	10	10	44	10	10
"S72043_rna1_at"	468	235	559	650	850	618	261	10	413	46	16000	16000	449	585	167	663	604	10	10	10	3522	788	539	1156	123	283	611	232	661	1324	618	703	413	37	69	796	10	859	15	27	244	10	10	304	84	669	10	177	10
"S73205_at"	13	48	99	73	290	43	10	45	50	10	392	10	10	15	23	41	10	17	1253	67	10	73	135	10	27	10	28	35	36	151	10	44	54	10	10	10	10	70	10	10	35	45	32	10	30	10	10	10	10
"S74445_at"	43	293	10	31	1360	10	10	381	10	10	852	10	955	713	667	2458	10	132	562	123	10	656	5251	5576	82	5021	1091	914	257	232	3973	352	227	455	56	327	1314	405	10832	832	38	402	3014	6429	5930	160	289	956	68
"S74683_at"	10	231	180	161	298	41	103	166	64	10	379	14	23	10	45	114	160	135	107	74	10	46	10	10	146	111	140	45	10	159	127	94	10	10	122	32	10	15	11	10	10	21	40	10	33	10	64	10	96
"S75256_s_at"	10	10	10	10	335	875	10	10	134	104	1017	265	10	341	88	19	391	329	279	129	125	10	331	10	10	117	10	10	10	1518	10	10	13	10	10	10	159	10	10	10	130	108	222	10	10	25	10	87	300
"S75989_at"	402	172	292	435	786	282	99	167	152	269	370	10	64	38	10	231	413	178	475	10	10	473	10	140	136	10	10	302	59	10	10	10	10	10	10	102	10	10	10	10	10	10	100	208	10	10	10	263	207
"S76942_s_at"	10	10	10	10	10	392	218	10	242	213	4497	7518	10	407	272	435	347	440	2418	69	1696	10	244	477	10	1971	1077	521	757	3206	696	10	10	400	408	447	324	331	228	312	781	278	343	297	519	10	719	403	707
"S76965_at"	10	98	238	498	173	86	10	10	10	48	10	778	10	43	10	28	10	243	10	10	10	10	10	24	10	19	10	10	10	220	259	29	10	109	60	108	68	37	107	10	114	76	177	10	87	44	124	309	10
"S77361_at"	159	128	10	221	77	145	10	52	49	10	376	598	10	59	78	10	10	10	10	10	109	10	66	10	151	155	14	94	77	122	10	56	79	91	72	10	10	10	115	26	98	28	10	56	10	110	10	10	10
"S78085_at"	10	10	280	124	437	10	10	10	216	10	346	331	183	10	215	255	141	401	633	282	351	264	10	717	10	335	121	235	213	458	10	201	253	10	410	66	256	412	10	226	184	267	10	10	11	204	10	10	10
"S79048_at"	13	10	150	30	10	72	10	113	10	70	10	10	84	17	296	31	10	67	10	10	74	98	67	120	137	43	112	48	98	782	98	19	70	51	35	10	94	21	10	97	341	10	96	127	289	10	424	349	88
"S79281_at"	16	10	10	49	139	38	132	10	36	17	406	375	18	10	10	10	192	10	1305	70	63	10	10	58	53	10	10	10	10	845	10	10	10	10	10	147	94	10	10	21	40	10	44	56	138	89	190	119	44
"S80335_at"	10	10	10	10	10	535	87	10	106	68	374	1454	10	253	10	10	311	10	10	69	10	125	10	79	10	10	10	128	10	61	10	172	11	10	10	65	10	10	10	10	10	65	82	10	10	10	267	34	10
"S80905_f_at"	229	104	346	147	190	10	10	10	132	14	1949	4372	147	290	211	194	135	152	694	139	1303	10	130	261	281	166	398	99	127	10	108	10	84	193	213	10	10	126	10	77	68	41	10	10	75	101	316	144	10
"S81243_s_at"	10	10	10	10	10	10	93	10	157	10	1806	2669	10	10	10	10	10	10	1037	10	158	198	10	252	10	10	258	10	10	136	128	18	113	212	176	121	70	115	10	68	162	122	77	264	10	36	119	282	10
"S82471_s_at"	18	58	255	182	38	10	46	106	83	47	431	375	39	54	160	81	16	10	405	75	10	122	10	10	101	199	49	10	93	139	10	10	10	68	13	47	10	10	172	10	52	10	10	21	10	45	10	10	48
"S82597_rna1_s_at"	10	14	10	10	292	82	10	23	10	141	164	10	222	246	221	134	171	117	1135	221	512	127	137	272	45	148	176	10	30	143	572	406	10	248	10	312	10	77	10	252	64	70	86	10	199	64	325	199	10
"S95936_at"	10	10	10	10	138	305	10	10	62	57	183	26	36	1460	187	15	10	10	1324	44	10	10	3790	53	10	1894	58	10	10	124	149	10	10	10	10	10	10	10	10	10	220	10	57	38	157	62	10	22	10
"U00802_s_at"	10	10	10	10	10	10	10	10	71	10	10	1186	978	74	10	10	85	10	10	123	1234	10	10	10	10	233	151	10	334	1186	10	10	10	101	134	10	10	10	10	654	10	379	485	181	133	417	10	10	10
"U01120_at"	10	105	117	10	10	10	46	10	79	10	10	10	10	212	206	222	10	144	417	191	10	10	183	237	10	223	118	119	107	842	10	222	74	169	10	102	142	199	70	10	10	176	68	10	10	74	71	57	46
"U01157_at"	85	165	168	10	590	233	10	69	10	134	10	1235	38	51	221	10	298	86	10	62	290	10	40	116	50	154	203	113	85	10	57	123	12	105	145	10	10	167	103	10	137	62	10	190	10	23	31	159	33
"U02031_at"	10	295	318	39	10	10	213	141	20	10	10	10	12	444	13	669	18	340	10	172	10	90	528	10	10	128	10	10	405	41	30	138	785	213	198	603	749	602	166	53	620	343	495	464	893	1846	167	10	397
"U02566_s_at"	118	280	10	10	478	200	255	86	10	268	10	10	148	121	186	224	859	388	10	298	10	267	383	316	197	832	224	410	123	10	10	288	131	89	390	193	10	71	10	17	89	202	10	392	275	400	206	281	445
"U02683_s_at"	10	43	10	10	46	107	10	16	189	34	10	2244	10	10	10	87	10	52	289	102	262	77	90	10	10	67	10	10	86	214	10	88	52	81	139	119	109	33	56	180	119	110	134	10	131	10	118	157	128
"U03735_f_at"	28	10	10	157	10	204	255	79	160	73	10	713	42	10	10	10	10	10	10	14	10	10	10	282	447	121	10	11	138	10	10	10	84	10	10	10	10	10	10	10	83	10	51	64	10	42	10	82	18
"U03858_at"	10	10	10	10	10	10	10	10	324	110	340	2409	101	10	146	113	276	160	973	122	503	160	10	49	106	55	238	396	220	936	313	110	179	132	333	62	113	80	92	55	137	69	226	89	98	50	270	10	10
"U03877_at"	21	93	25	10	10	288	10	977	10	92	10	10	10	10	10	10	10	76	10	10	10	95	10	63	10	10	10	245	10	10	10	24	119	10	125	98	10	126	863	10	10	10	10	10	10	10	474	10	10
"U03911_at"	10	23	22	10	195	21	10	91	64	77	215	57	12	30	126	51	84	10	10	10	10	10	60	157	90	146	10	11	10	10	29	64	127	78	11	76	131	213	79	202	277	300	251	108	146	37	296	317	206
"U04270_at"	207	282	133	10	239	165	496	106	255	10	10	250	10	10	10	10	29	10	852	10	214	10	13	10	368	10	10	10	10	1294	10	10	116	10	10	10	62	125	175	22	10	10	10	234	10	10	68	10	34
"U04313_at"	43	262	10	10	30	697	235	10	1263	28	10	417	984	926	1746	1143	19	112	452	10	16	10	663	930	145	467	706	100	10	10	12	10	65	10	19	97	343	55	10	10	431	504	1448	957	1176	27	870	2268	209
"U04810_at"	10	10	10	10	118	13	148	105	10	108	105	10	116	10	210	53	25	10	10	50	415	40	10	728	309	308	559	146	209	860	10	202	49	169	10	10	439	198	10	201	652	10	318	364	94	379	323	59	208
"U05012_s_at"	10	10	10	10	10	10	68	10	101	10	269	2401	10	36	48	10	10	41	906	10	10	10	10	44	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10
"U05255_at"	10	10	10	10	10	10	10	10	14	10	848	1918	10	10	10	121	10	10	123	10	20	10	18	10	10	10	72	10	169	10	10	10	10	10	10	10	72	10	10	10	10	10	10	156	10	61	10	10	10
"U05572_s_at"	14	10	305	632	10	315	119	172	10	10	162	857	568	464	51	112	10	10	10	10	10	10	106	10	10	144	622	154	692	10	155	10	175	10	10	246	429	10	31	613	115	75	39	150	997	10	465	27	10
"U05861_at"	78	10	10	10	465	56	579	10	289	909	328	560	10	172	64	224	113	156	137	26	489	10	10	2525	10	19	254	57	10	14	10	73	10	136	129	10	300	10	56	10	2056	10	23	1606	131	10	10	1100	152
"U06632_at"	10	60	54	19	10	10	27	206	10	10	176	10	10	147	51	75	22	26	10	80	198	10	118	13	81	10	10	10	87	122	10	10	121	120	33	47	197	135	93	10	41	97	371	10	12	68	93	77	163
"U07225_at"	10	10	10	10	10	10	10	51	10	48	414	2431	10	10	67	17	152	125	646	40	298	10	57	10	184	166	46	10	310	278	10	75	10	41	38	10	10	10	56	10	10	10	10	10	54	81	10	10	10
"U07563_cds1_at"	10	10	10	140	10	10	10	353	10	10	10	10	223	161	255	10	10	186	10	14	10	10	276	533	149	13	10	10	10	10	10	10	10	10	10	26	10	10	18	88	10	126	221	100	10	307	10	198	173
"U07620_at"	10	10	59	231	10	10	10	65	10	82	10	10	10	62	10	10	51	10	532	42	10	10	34	16	144	568	78	10	10	10	10	229	30	243	10	89	10	10	10	658	18	93	122	399	15	10	201	10	10
"U07807_at"	10	93	10	10	116	218	10	41	10	10	10	1171	293	59	39	10	129	89	57	36	297	10	43	10	10	103	198	70	127	41	131	26	52	71	110	10	10	199	216	119	83	52	10	10	129	88	10	113	129
"U07969_s_at"	66	10	39	10	345	14	10	83	10	10	10	10	10	10	190	10	348	10	141	129	339	13	10	10	10	184	179	109	100	358	40	10	93	73	259	99	10	73	132	10	67	30	163	29	10	112	173	10	10
"U08049_at"	214	157	168	140	356	319	82	73	92	10	10	10	10	84	10	10	44	10	899	38	248	73	113	10	10	10	77	105	96	1400	73	10	19	10	146	97	48	64	134	10	136	10	120	132	68	15	11	82	11
"U08096_at"	338	107	259	221	776	267	10	259	128	200	10	10	32	181	170	183	160	10	10	113	10	10	126	441	10	206	10	86	50	520	10	78	10	144	10	10	10	10	81	19	10	103	10	97	56	37	150	210	17
"U08989_at"	105	66	196	104	291	38	10	211	67	59	10	10	10	10	38	10	175	208	10	99	162	131	10	255	33	10	10	91	62	152	113	66	30	18	181	318	168	82	66	10	104	10	71	10	10	10	91	10	10
"U08998_at"	10	10	25	379	632	34	10	10	373	10	21	10	10	71	353	10	10	10	55	13	10	58	10	13	28	10	10	158	10	10	22	10	153	59	14	168	10	10	10	65	95	67	57	10	10	404	10	10	33
"U09210_at"	214	436	155	10	10	245	170	423	151	414	10	10	837	199	86	10	334	546	36	10	1293	455	10	10	224	10	10	559	262	10	463	88	10	543	573	609	10	161	229	162	779	231	405	285	566	99	167	85	114
"U09413_at"	65	10	10	10	10	31	37	10	65	10	10	10	10	67	51	31	48	212	300	173	216	10	13	292	10	10	56	10	35	15	10	10	132	101	61	10	151	53	10	249	132	10	70	203	92	10	122	177	81
"U09550_at"	172	166	10	10	10	25	10	10	10	31	1407	10	10	39	135	10	10	10	10	53	230	10	109	106	240	10	168	96	10	386	10	10	25	10	10	10	273	15	214	53	10	105	88	10	45	132	48	10	78
"U09578_at"	292	593	496	175	523	157	98	447	128	10	134	10	99	135	495	10	357	10	10	181	220	322	311	10	10	10	168	10	19	10	237	185	10	10	10	152	10	10	268	482	246	91	103	101	103	214	570	10	106
"U09877_at"	10	294	10	377	10	10	682	10	10	174	10	10	10	10	12	221	10	10	10	190	10	328	110	10	10	73	133	10	122	10	10	372	487	438	20	161	135	295	47	483	25	83	381	333	916	486	10	46	10
"U10099_s_at"	36	328	32	132	70	149	10	211	10	343	10	10	102	54	231	69	202	77	10	663	10	165	33	33	10	199	10	142	123	10	114	353	491	78	10	117	10	513	115	201	10	10	10	436	85	52	10	74	10
"U10324_at"	10	195	113	10	10	10	498	211	259	270	10	10	160	460	252	232	27	10	871	125	10	10	133	10	10	10	16	84	181	10	169	287	727	560	202	493	693	655	10	279	1132	536	710	244	107	330	758	771	377
"U10362_at"	10	682	10	10	10	277	10	509	563	659	10	10	359	265	10	10	10	252	198	845	450	107	10	10	529	10	10	289	156	10	330	61	986	723	578	278	259	489	48	1039	525	492	223	605	10	866	114	173	715
"U10685_at"	10	69	181	81	272	10	29	76	10	58	10	10	10	10	181	10	159	119	1293	56	98	82	145	37	10	127	19	30	10	85	103	78	108	24	62	40	10	94	10	85	47	21	59	10	162	220	102	105	10
"U10991_at"	10	184	10	520	10	707	65	374	10	10	5660	3575	209	14	334	219	318	10	1483	10	637	10	70	10	643	10	293	436	162	1129	10	42	10	394	10	27	185	10	10	140	219	10	62	70	10	10	251	62	95
"U11870_rna1_at"	92	162	196	10	136	446	290	175	10	10	489	1213	10	261	519	375	10	670	10	16	63	10	10	141	211	80	126	139	192	10	250	102	31	96	194	10	106	174	263	174	81	10	49	53	188	18	84	10	65
"U11877_at"	282	373	29	10	10	246	10	165	10	225	10	10	10	10	109	10	10	381	899	10	10	10	350	10	10	10	10	10	10	464	98	92	10	73	82	132	150	64	106	28	57	10	91	50	10	10	111	300	158
"U12139_at"	64	577	645	534	10	837	662	272	202	615	10	6795	763	586	417	779	1402	1248	10	448	1772	1156	23	1160	188	198	485	350	785	63	654	602	740	10	597	472	536	688	353	309	609	10	10	1059	10	85	10	373	556
"U12535_at"	315	57	10	89	10	133	10	175	155	152	32	10	215	66	484	26	174	207	10	161	10	106	10	10	285	10	27	10	10	10	53	71	11	697	192	77	148	62	254	392	121	10	135	10	10	295	71	10	10
"U12775_at"	129	64	17	361	189	10	10	72	51	10	309	10	58	10	61	101	152	101	433	10	10	49	10	243	10	67	155	80	99	1347	10	10	10	102	10	10	43	45	30	10	143	10	51	56	140	87	32	10	57
"U12778_at"	22	188	561	183	113	47	10	79	90	10	12	10	13	42	51	10	17	75	10	158	76	10	10	10	158	28	24	10	39	107	87	240	27	162	146	393	77	101	527	158	53	21	10	71	10	83	38	57	17
"U13061_rna1_at"	173	10	119	174	455	350	55	10	66	52	503	1452	10	58	10	10	35	10	10	10	119	32	92	59	110	14	10	35	10	108	18	10	34	48	86	121	121	10	56	10	10	10	11	57	86	10	48	167	13
"U13219_at"	10	10	61	10	408	131	10	36	10	66	690	271	10	10	10	10	10	10	10	10	10	49	10	10	10	10	10	10	10	956	10	10	10	10	10	10	235	100	10	10	10	10	10	72	10	10	68	10	68
"U13220_at"	10	10	118	112	488	360	197	93	49	110	10	10	10	201	10	89	37	223	1580	92	324	216	58	298	10	10	10	163	10	199	176	59	26	193	281	263	43	235	10	10	149	328	159	67	10	10	193	397	133
"U13616_at"	10	10	535	69	10	95	42	10	10	10	195	10	10	25	158	10	142	10	830	10	10	124	10	66	10	10	47	68	10	125	10	268	263	139	146	231	223	421	10	10	137	117	90	132	10	161	10	74	59
"U13696_s_at"	10	10	10	10	10	10	68	10	10	10	10	10	152	10	10	10	10	12	1180	45	10	10	10	10	10	153	66	10	129	724	10	43	10	10	10	46	10	18	10	58	10	180	10	123	10	114	82	10	10
"U14528_at"	169	53	443	11	10	294	60	58	55	10	10	10	118	126	40	283	201	171	10	10	144	157	450	10	10	85	96	10	68	156	129	46	10	45	25	90	33	10	10	10	155	272	209	19	166	10	73	666	863
"U14747_at"	55	197	153	137	10	10	125	45	13	50	10	10	10	26	11	133	40	10	10	91	217	10	82	205	91	163	17	10	97	10	119	10	47	142	190	173	118	56	121	12	109	93	131	97	158	10	127	232	10
"U14910_at"	207	236	673	361	1062	171	72	10	355	196	10	628	139	361	180	438	10	618	569	10	10	193	131	265	109	235	10	304	10	1131	234	10	10	16	323	141	319	144	130	94	153	13	10	249	44	18	10	576	238
"U15197_at"	144	174	10	81	544	10	10	116	106	20	10	311	10	42	10	10	62	10	320	10	29	115	61	10	44	230	10	78	10	773	96	10	10	215	68	221	17	162	273	147	308	11	128	115	10	10	139	324	229
"U15641_s_at"	10	10	10	10	10	10	25	70	10	10	10	341	76	10	67	10	431	10	1391	10	10	10	10	10	239	10	130	10	10	1488	10	61	10	10	10	10	197	10	10	10	10	10	10	10	127	10	152	10	449
"U16811_s_at"	19	10	10	10	105	10	87	80	148	91	256	1215	10	23	75	31	10	209	10	101	37	10	10	10	42	10	87	68	112	10	10	28	173	156	61	112	159	167	38	130	99	162	10	114	10	89	47	10	10
"U16954_at"	10	94	10	147	10	10	54	10	105	461	59	1261	10	96	734	20	71	116	10	16	111	90	10	141	10	10	109	10	10	10	55	54	1293	122	45	107	18	584	73	101	1345	10	436	45	23	68	142	103	80
"U16997_at"	10	137	304	203	210	35	296	150	10	13	965	2914	10	10	48	247	283	273	774	217	194	137	19	205	212	311	404	115	130	10	10	133	190	10	81	39	65	14	62	231	51	73	33	283	10	345	10	10	10
"U17077_at"	111	107	10	10	10	55	10	33	195	278	10	10	503	509	1273	96	178	181	10	10	10	457	463	119	10	146	171	718	54	170	10	10	81	49	39	10	14	22	39	78	10	95	205	588	245	24	10	357	653
"U17566_at"	10	10	10	10	10	10	318	107	191	10	912	1899	221	10	159	25	571	10	629	122	10	10	286	715	10	660	512	349	459	967	10	352	62	10	176	10	10	10	10	208	10	10	10	391	83	201	10	384	10
"U17743_s_at"	140	211	71	10	244	28	78	70	356	66	10	627	10	68	10	10	256	281	10	174	151	48	94	10	150	10	121	52	92	10	76	10	73	108	49	94	10	103	35	58	99	89	10	10	14	46	33	10	10
"U17760_rna1_at"	128	136	10	10	10	194	486	39	408	122	10	10	431	360	418	578	10	309	10	525	10	314	23	10	10	603	2071	88	137	10	17	10	48	53	71	208	130	10	10	10	128	10	1340	338	420	16	767	657	31
"U17969_at"	35	10	263	10	124	10	10	449	10	54	1648	10	411	464	731	1045	338	10	58	10	581	10	561	981	325	747	10	196	10	866	10	10	663	443	445	662	365	1173	411	362	651	1522	509	1519	218	425	885	934	387
"U18235_at"	42	10	10	10	10	115	10	10	10	10	10	10	10	10	10	10	158	10	2436	10	10	10	10	10	515	10	10	10	10	1444	10	10	10	10	10	10	69	356	10	10	10	10	10	10	10	10	10	10	10
"U18259_at"	10	10	154	21	221	164	30	13	39	10	10	292	233	10	10	73	41	10	10	40	23	10	10	138	38	10	21	198	124	398	130	94	11	118	14	217	197	10	12	10	149	17	10	10	251	10	228	17	83
"U18288_at"	53	40	209	195	193	115	110	70	16	113	1719	1961	83	123	138	42	184	10	1219	220	583	290	41	10	210	215	127	67	138	10	129	57	10	10	10	25	86	152	59	27	15	10	32	143	136	179	10	250	55
"U18422_at"	10	10	10	192	10	10	10	10	10	10	408	2271	28	10	10	10	10	122	22	10	181	10	10	195	10	10	10	10	10	546	10	10	10	10	10	10	10	10	10	10	10	10	10	97	57	10	23	10	10
"U19107_rna1_at"	42	10	46	24	109	10	10	42	34	10	653	529	73	62	10	10	107	330	595	43	59	21	109	132	52	19	61	34	10	54	72	20	73	34	71	10	297	10	10	10	288	61	10	10	10	25	10	10	60
"U20391_rna6_at"	10	10	10	10	10	1006	10	10	10	10	964	1030	10	10	81	10	10	10	10	10	296	10	125	10	10	353	441	10	10	3379	10	63	10	10	10	10	1326	175	10	10	10	10	233	164	475	10	10	10	10
"U20760_at"	60	47	122	52	160	51	10	10	92	104	2738	1009	10	152	17	118	10	10	1557	99	492	10	93	443	107	10	10	10	211	1255	223	344	128	109	176	80	10	115	10	10	63	163	137	264	10	96	166	87	177
"U21049_at"	96	824	116	164	673	431	585	286	10	10	575	3232	780	263	599	42	402	583	10	10	455	359	998	583	10	35	356	10	133	696	381	97	20	10	320	29	56	71	858	135	82	276	433	425	55	110	10	10	95
"U21943_at"	10	47	38	77	10	56	49	60	10	25	1433	2760	10	10	164	26	18	92	10	64	527	45	56	10	145	145	31	16	121	10	18	25	42	31	44	23	10	10	24	26	10	37	40	76	41	126	60	26	10
"U22028_r_at"	10	105	74	226	10	10	46	276	10	11	139	10	10	228	244	114	676	10	10	103	125	138	152	41	23	399	354	322	396	204	10	48	60	194	228	10	76	140	123	56	181	161	10	357	267	321	44	13	52
"U22029_f_at"	82	280	10	10	387	10	10	10	10	10	481	935	10	62	18	10	739	174	597	10	391	102	89	292	579	10	10	128	10	10	10	391	935	10	10	10	27	1963	10	10	37	10	10	10	10	10	10	182	84
"U22376_cds2_s_at"	1597	1342	225	3756	10	10	275	1375	1276	418	1601	1062	30	180	10	52	1729	728	601	3067	1914	10	10	10	251	245	23	11	111	977	378	1238	852	755	1609	1220	1712	899	1265	1442	40	428	152	48	10	342	10	1416	165
"U22662_at"	108	279	10	10	638	100	10	193	49	122	65	310	362	483	50	232	10	350	194	374	330	10	124	10	10	132	399	139	316	191	154	91	91	126	10	81	342	10	422	61	10	112	190	10	177	138	27	10	22
"U22970_rna1_s_at"	494	39	266	644	10	72	353	922	767	429	10	10	170	841	10	41	10	399	1744	173	1490	10	10	10	10	10	10	631	10	10	481	1040	2263	427	420	10	1525	537	1308	676	10	496	1276	10	474	2618	388	238	770
"U24169_at"	646	610	73	10	10	10	152	645	102	10	237	10	596	262	154	210	10	10	10	336	113	10	342	133	10	10	10	10	335	10	401	263	583	614	117	38	10	316	365	836	299	929	297	71	186	551	1167	86	648
"U24576_at"	291	33	40	83	591	1010	775	199	43	79	10	10	821	522	109	1109	10	52	111	65	10	318	126	280	10	214	316	1453	106	10	2832	107	118	209	672	547	2248	10	506	1790	1757	714	918	156	1085	322	1340	2244	273
"U24683_at"	511	10	426	739	301	284	406	10	10	112	10	10	151	10	10	686	358	398	10	39	185	582	52	374	100	10	10	429	132	1410	147	63	10	71	10	10	10	16	10	10	169	155	10	237	56	154	192	177	10
"U25138_at"	199	10	10	10	252	342	10	10	10	148	10	10	296	411	190	724	10	432	19	10	183	127	28	10	10	10	227	182	106	1345	174	10	78	143	558	138	10	10	279	296	175	20	561	1132	556	10	10	10	10
"U25265_at"	10	248	117	11	83	146	10	10	384	41	10	10	10	10	10	10	26	10	10	131	137	35	10	119	402	60	233	119	59	1774	333	11	147	377	524	464	330	501	254	407	130	288	225	70	10	10	128	510	447
"U25433_at"	10	17	103	82	63	55	90	16	209	113	361	151	62	10	10	19	27	13	10	49	158	43	54	120	56	93	10	10	23	622	163	35	92	10	10	10	232	10	14	10	33	10	10	45	33	10	10	10	10
"U25801_at"	98	13	10	10	117	38	10	55	10	10	1667	2918	97	183	10	263	10	10	381	74	11	133	244	342	10	152	49	161	28	10	10	10	10	10	168	10	10	10	14	10	10	63	17	10	10	72	15	43	10
"U25956_at"	109	10	68	491	193	362	195	10	263	24	10	1374	66	150	10	231	130	10	256	104	10	40	246	68	34	184	10	494	218	10	198	84	131	244	10	360	101	10	234	170	67	187	145	10	390	10	343	388	10
"U25997_at"	1267	1157	585	14	10	28	13	208	10	443	120	462	10	87	363	23	10	10	10	134	87	10	10	10	10	10	10	10	10	113	44	127	510	87	10	219	52	892	10	10	118	10	72	390	10	112	10	10	10
"U26174_at"	10	10	10	179	114	83	10	128	10	110	82	1038	111	84	10	50	259	31	10	25	10	69	10	355	10	165	10	91	195	306	41	25	34	10	36	67	296	110	73	37	10	46	67	49	253	83	237	48	89
"U26398_at"	85	93	10	10	10	58	49	51	10	10	514	382	205	24	16	229	765	10	400	65	211	316	10	172	87	163	147	81	124	98	20	93	83	10	10	39	10	64	33	10	46	22	17	31	109	10	145	161	135
"U26591_at"	164	404	293	319	357	10	442	10	59	93	10	10	107	154	10	259	10	10	434	39	10	10	10	10	290	10	10	125	105	283	52	305	10	10	10	10	10	10	10	184	10	10	10	10	10	96	136	10	185
"U26727_at"	248	279	248	96	3152	145	306	56	209	269	10	10	2023	689	3203	10	512	230	28	10	110	421	1187	3060	262	10	10	4431	114	682	159	10	151	47	354	10	10	289	198	248	1096	1292	983	56	276	10	45	127	353
"U27185_at"	107	17	10	380	10	1078	222	10	65	77	10	1227	1644	1245	8177	1504	91	160	343	54	10	11	1931	1629	10	144	727	3680	83	10	274	10	29	38	10	49	131	14	15	10	379	295	237	16	496	10	2511	4526	118
"U27333_at"	10	10	10	10	10	10	10	10	10	10	114	388	97	63	10	23	549	10	1900	160	412	10	217	21	10	379	160	197	265	767	10	163	193	10	168	35	369	198	10	50	10	10	10	170	146	244	10	10	84
"U27333_s_at"	10	10	10	10	571	309	869	139	10	78	2431	10	187	263	10	10	134	218	10	10	392	10	981	10	10	10	64	10	10	10	10	10	64	10	266	10	10	10	10	186	10	176	596	487	10	129	10	91	145
"U28055_at"	83	24	10	25	2932	91	157	10	28	10	10	10	149	166	10	234	332	10	576	14	185	10	47	71	113	37	80	69	10	751	25	87	95	69	45	155	111	128	68	131	56	57	10	153	73	10	10	134	64
"U28150_at"	10	10	187	162	161	207	12	10	10	10	384	1266	107	139	134	164	213	217	10	147	308	61	38	235	209	100	10	74	11	35	228	10	46	128	70	10	10	10	10	35	218	35	111	16	10	76	88	10	26
"U28249_at"	247	309	357	175	12	303	178	99	41	124	84	95	10	71	69	35	10	310	10	115	235	18	293	10	10	196	10	71	10	261	10	193	78	106	55	10	424	150	373	10	592	255	238	199	215	10	10	319	135
"U28368_at"	10	10	10	10	10	34	43	10	10	79	10	58	25	211	10	147	10	10	10	31	10	10	684	10	14	152	10	10	10	10	81	10	10	10	224	45	240	10	10	10	10	10	469	599	387	10	91	239	10
"U28488_s_at"	210	76	75	195	214	177	82	93	10	61	10	366	196	307	73	168	173	129	845	47	42	172	10	10	10	56	10	147	202	150	213	10	29	72	10	28	10	10	10	10	10	70	80	61	162	55	318	10	10
"U29343_at"	41	23	36	20	10	35	135	45	75	47	10	10	10	115	163	10	10	10	10	10	10	10	31	173	76	101	10	48	41	310	77	51	111	94	60	102	145	155	119	30	60	246	265	184	10	113	116	262	134
"U29589_at"	10	10	10	10	10	10	61	60	10	10	264	511	94	40	43	49	40	10	236	10	10	10	23	10	10	10	99	10	10	10	10	10	10	10	10	10	46	10	18	10	617	10	126	240	15	10	20	486	158
"U29615_at"	222	67	145	10	124	222	767	16	163	10	979	804	45	10	240	10	171	10	10	10	10	59	82	10	380	10	10	516	10	4791	23	46	88	51	52	460	284	48	119	138	10	35	102	10	10	10	172	82	262
"U29725_at"	51	86	10	26	83	31	10	159	28	10	10	10	10	10	185	10	67	10	91	10	10	10	286	10	10	10	10	10	127	535	160	260	198	153	65	235	54	10	85	87	171	52	208	80	30	81	91	10	57
