	"ALL_1"	"ALL_2"	"ALL_3"	"ALL_4"	"ALL_5"	"ALL_6"	"ALL_7"	"ALL_8"	"ALL_9"	"ALL_10"	"ALL_11"	"ALL_12"	"ALL_13"	"ALL_14"	"ALL_15"	"ALL_16"	"ALL_17"	"ALL_18"	"ALL_19"	"ALL_20"	"ALL_21"	"ALL_22"	"ALL_23"	"ALL_24"	"MLL__1"	"MLL__2"	"MLL__3"	"MLL__4"	"MLL__5"	"MLL__6"	"MLL__7"	"MLL__8"	"MLL_9"	"MLL_10"	"MLL_11"	"MLL_12"	"MLL_13"	"MLL_14"	"MLL_15"	"MLL_16"	"MLL_17"	"MLL_18"	"MLL_19"	"MLL_20"	"AML_1"	"AML_2"	"AML_3"	"AML_4"	"AML_5"	"AML_6"	"AML_7"	"AML_8"	"AML_9"	"AML_10"	"AML_11"	"AML_12"	"AML_13"	"AML_14"	"AML_15"	"AML_16"	"AML_17"	"AML_18"	"AML_19"	"AML_20"	"AML_21"	"AML_22"	"AML_23"	"AML_24"	"AML_25"	"AML_26"	"AML_27"	"AML_28"
"32127_at"	229.7	402	10	54	248	810	683	165	304	459	291	141	185	792	397	360	132	156	283	628	280	221	284	129	142	47	163	153	11	612	258	489	81	131	10	373	226	28	66	233	126	100	280	319	116	10	127	10	10	10	10	14	83	285	156	71	56	71	12	77	10	10	83	10	10	10	10	118	10	106	74	10
"32134_at"	36.6	47	173	10	93	67	10	371	73	95	27	39	262	10	10	10	10	10	38	14	125	434	130	10	756	77	1387	1397	2365	571	796	143	10	5186	251	70	810	1622	943	159	4095	2326	993	904	1055	236	1338	193	421	157	369	1196	309	1146	516	906	1201	492	412	10	624	1182	631	885	1179	833	3311	456	1492	566	10	709
"32139_at"	18.5	140	10	248	129	10	10	82	10	567	10	924	195	10	10	287	10	10	306	10	10	10	10	190	89	10	176	10	211	196	10	74	10	10	82	236	10	141	10	10	721	10	10	10	10	493	10	544	10	10	210	635	738	696	10	10	10	148	354	621	10	598	414	553	722	165	10	10	46	84	476	10
"32142_at"	151.4	360	10	442	99	423	196	167	189	180	530	213	10	659	10	488	10	352	410	154	247	391	274	300	249	244	334	269	10	27	106	186	27	294	89	10	10	66	10	254	336	114	96	317	149	128	57	10	10	10	143	432	216	211	247	20	10	10	10	206	10	10	64	10	21	26	10	10	212	10	167	215
"32625_at"	1371	1639	1126	3831	2131	2868	1629	2286	10	1929	2524	1199	2023	1109	1003	1563	431	521	2127	1643	925	296	4183	994	426	78	309	10	10	204	185	423	135	10	367	924	865	781	10	158	165	3112	10	1500	10	10	10	102	10	197	578	137	126	18	10	247	10	97	10	10	581	263	87	10	54	10	10	10	10	283	10	10
"32627_at"	753.1	341	339	508	178	367	513	102	370	657	533	317	30	701	10	214	125	193	321	236	186	193	387	789	194	419	10	10	319	59	18	131	376	493	244	59	10	228	258	50	232	196	51	206	97	301	242	10	10	10	10	36	90	329	10	139	88	10	10	10	10	144	155	10	170	28	466	236	68	275	10	10
"32630_f_at"	10	274	59	10	296	81	93	172	201	330	58	88	173	145	98	208	10	188	63	138	42	271	193	10	80	32	45	10	50	10	10	10	128	10	607	10	10	125	10	60	110	10	220	10	10	185	222	10	41	10	10	23	130	10	10	38	10	96	251	76	10	55	146	10	13	10	10	23	97	10	48	10
"32632_g_at"	768.7	1391	10	536	945	465	222	550	586	699	607	376	657	285	10	341	10	487	700	251	234	446	507	176	412	223	745	10	10	257	267	957	791	796	106	10	1167	133	530	286	2412	10	1498	1127	10	922	344	10	10	10	1130	2424	812	322	10	1210	16	66	10	458	10	10	57	10	1820	256	10	10	1419	10	714	10
"32634_s_at"	24.4	10	25	10	55	10	10	10	10	10	10	10	92	10	10	10	10	10	10	10	10	10	10	10	10	140	10	10	10	10	69	17	10	94	49	10	10	10	10	10	10	10	10	10	10	10	10	176	211	88	93	31	163	796	87	321	433	10	350	415	10	503	10	456	44	10	62	10	10	10	190	73
"32636_f_at"	355.6	200	271	10	277	52	85	10	37	114	10	14	109	10	10	10	10	10	10	243	162	10	211	45	541	277	388	10	10	520	358	10	10	161	46	20	10	10	145	84	211	34	10	10	139	61	329	10	41	10	68	10	22	393	10	54	152	10	312	249	105	315	195	57	10	422	215	28	326	85	284	38
"32639_at"	152.9	1009	10	123	590	495	561	448	637	1917	616	391	493	311	716	1390	10	561	990	290	553	391	536	240	435	248	575	10	10	477	10	150	114	912	205	446	341	359	10	710	498	238	419	625	251	32	10	10	10	10	119	294	104	553	271	10	10	138	10	10	10	10	10	10	10	489	39	10	198	10	72	10
"32640_at"	10	10	146	10	10	10	10	10	10	10	10	10	10	10	10	10	39	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	286	10	10	10	10	293	10	176	21	1202	10	10	10	10	10	790	535	216	10	10	1227	262	1841	4151	10	2149	64	10	234	10	10	10
"32642_at"	10	72	10	10	128	54	15	10	10	10	10	127	64	30	126	57	10	173	10	161	108	110	10	10	44	28	58	133	46	13	31	156	142	85	125	424	165	184	111	109	195	348	10	299	226	10	187	285	10	93	224	10	168	169	106	95	242	278	293	257	290	193	202	288	76	230	216	168	19	214	343	361
"32648_at"	79.2	31	176	26	10	177	10	61	10	222	52	134	10	94	10	165	213	252	236	385	206	20	20	150	118	10	10	165	294	54	36	347	69	273	72	10	127	184	407	31	381	30	158	162	243	10	10	83	620	250	147	253	93	304	330	226	15319	302	6264	538	507	146	169	396	91	86	163	277	83	361	347	171
"32651_at"	35.9	141	10	10	241	10	126	328	221	694	240	10	92	144	10	10	253	10	131	359	174	20	81	133	103	46	266	113	169	10	163	10	59	332	22	10	10	203	510	174	374	10	321	311	157	10	23	10	10	10	207	10	10	549	501	541	473	248	10	456	10	10	10	10	80	135	10	121	101	467	33	10
"32653_at"	73.4	10	10	79	10	10	94	10	10	10	10	10	10	380	420	10	154	10	10	371	490	10	10	253	10	136	10	271	10	10	333	389	105	265	257	48	10	10	955	10	277	10	10	10	468	378	10	129	10	218	431	10	10	427	10	310	10	129	353	346	10	163	770	663	10	142	1281	290	67	10	28	205
"32663_at"	10	15	10	10	83	10	10	1781	107	10	10	10	10	36	261	124	10	10	456	10	1212	10	10	10	10	10	10	10	234	103	282	10	10	10	10	10	10	10	10	10	10	10	10	10	1101	10	10	10	10	10	10	47	2629	137	10	197	99	10	124	10	334	10	10	10	10	4827	23	4521	10	53	10	10
"32670_at"	10	34	10	30	255	10	214	10	10	10	44	10	56	254	10	14	477	269	191	383	10	390	349	221	919	319	311	720	10	229	277	113	394	10	212	180	946	10	10	1995	560	278	437	60	949	1223	1148	366	243	440	568	10	550	191	132	250	128	386	10	195	10	184	312	10	61	10	608	138	400	120	511	834
"32682_at"	648.6	1049	37	10	43	1053	858	548	31	10	118	10	160	393	736	10	175	10	107	848	31	204	1073	116	226	10	196	78	10	167	100	66	10	34	90	510	354	10	10	368	10	10	255	51	10	10	29	10	10	10	10	10	46	10	48	31	10	10	10	13	10	10	106	18	10	208	23	10	109	70	10	10
"32684_at"	459.1	451	197	250	265	162	370	421	271	103	576	189	76	319	25	359	90	109	458	329	199	212	263	94	114	114	98	69	134	137	201	10	61	108	22	148	61	121	10	61	16	97	134	224	10	10	10	39	10	104	10	83	10	10	10	10	10	10	10	64	10	10	10	10	10	10	13	10	160	173	10	97
"32686_at"	46	40	21	10	125	138	40	90	126	206	206	46	36	10	10	10	10	91	34	70	98	118	10	82	51	106	147	10	10	10	10	92	10	10	99	36	10	91	98	42	10	10	103	134	10	270	122	10	10	10	162	3346	101	10	109	185	19	82	10	90	10	20	61	10	10	163	195	152	36	179	124	10
"32689_s_at"	10	10	295	10	29	10	10	10	126	10	229	10	10	10	10	10	10	103	10	41	10	151	89	56	10	179	96	198	80	221	95	169	307	216	86	219	122	294	10	100	10	10	109	278	10	10	202	10	185	10	116	743	10	211	10	245	10	10	10	10	103	57	10	10	152	10	10	33	10	443	10	10
"32699_s_at"	541.9	346	10	107	735	914	41	10	10	10	744	10	727	107	567	108	10	10	105	367	723	225	467	228	111	97	253	10	547	10	47	136	10	297	884	232	145	10	617	371	928	285	310	846	959	430	743	500	1085	250	1040	10	10	671	200	12	777	10	264	10	119	727	10	1212	837	438	651	216	10	669	112	384
"32702_at"	10	388	10	793	10	10	10	10	935	514	934	10	10	2385	29	762	10	287	10	10	10	184	10	10	74	175	10	10	10	10	10	205	10	10	10	10	10	10	10	779	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10
"32703_at"	246.1	300	688	828	61	182	97	27	247	180	188	10	10	657	58	302	10	106	302	10	10	485	168	215	40	10	19	10	83	10	10	10	10	69	21	450	10	24	10	260	10	10	14	10	10	222	10	10	10	10	10	10	44	10	110	62	58	10	10	10	10	10	10	10	10	139	61	122	11	10	10	10
"32709_at"	97.8	61	10	74	26	137	73	99	156	10	136	10	15	121	10	10	10	37	10	78	10	76	39	124	10	51	10	40	10	52	10	10	28	234	37	173	10	10	50	155	19	38	10	129	117	100	283	10	48	48	159	10	90	18	28	10	50	10	156	186	10	76	64	131	56	150	158	124	21	12	247	40
"32712_at"	22.3	55	45	10	1525	47	70	108	616	98	355	28	32	77	507	63	48	63	1167	63	200	146	19	31	38	10	71	38	65	16	36	34	67	202	48	10	67	36	91	10	40	10	107	130	110	10	33	10	76	10	84	62	45	10	17	44	10	55	14	101	10	10	31	25	39	75	81	58	10	76	40	10
"32718_at"	249.7	69	392	278	119	296	340	262	511	24	486	255	385	300	194	99	10	42	342	24	76	678	233	62	10	81	10	86	10	18	10	29	10	227	77	10	10	295	10	83	747	315	10	147	10	33	68	10	10	10	10	315	10	10	374	10	10	57	10	71	10	10	10	50	115	120	10	85	57	10	10	10
"32719_at"	10	59	10	10	95	40	10	258	88	286	225	38	138	111	10	21	10	79	207	86	10	147	246	15	13	10	19	74	10	10	10	137	103	167	91	219	111	168	127	245	352	145	191	10	265	202	226	71	17	10	452	218	141	342	484	198	152	186	537	899	444	270	414	86	248	387	284	25	338	382	1106	186
"32728_at"	10	10	10	10	10	47	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	431	10	10	48	10	10	10	10	10	10	10	10	10	10	74	10	10	10	10	10	10	10	10	10	145	10	10	10	10	10	10	288	10	10	222	739	1354	10	10	10	10	889	10	200	220	10	10	490	133	246	60
"32729_at"	126.3	166	27	10	102	99	195	222	251	236	336	153	125	165	10	109	71	180	247	242	147	306	66	48	61	10	158	10	10	125	40	85	71	212	106	51	133	30	55	131	150	66	220	298	34	142	101	10	10	10	10	79	83	184	142	118	13	58	10	10	10	10	11	10	15	158	158	75	69	107	10	10
"32730_at"	5938.5	1245	48	65	10	2194	1712	532	1147	51	10	502	10	2023	895	27	119	10	1667	10	329	87	2599	502	10	10	12	55	10	10	10	10	10	10	139	10	48	17	10	160	874	22	223	10	10	118	238	10	178	96	10	10	11	89	10	77	10	10	55	207	103	117	107	10	44	43	22	10	10	10	10	10
"33218_at"	10	10	10	10	105	133	74	330	10	10	10	10	619	10	10	161	200	305	80	10	683	10	40	10	191	10	10	203	10	154	10	10	76	24	515	101	10	66	10	10	10	350	10	428	58	10	10	10	10	79	10	10	10	78	10	10	10	10	10	10	10	10	10	10	146	200	10	59	10	10	10	10
"33235_at"	115	189	62	10	53	17	130	10	73	157	120	138	28	10	11	74	22	90	84	91	40	39	12	10	10	70	10	176	38	10	75	10	16	3060	20	10	10	41	84	49	10	10	56	137	296	174	54	10	10	191	10	274	53	104	278	175	121	131	87	10	10	29	93	220	168	222	958	292	10	168	22	20
"33238_at"	545.9	1945	97	717	1932	1349	1618	8425	1923	1909	4233	1785	3346	55	4109	4452	176	1006	1321	781	323	5263	1614	181	48	10	112	2566	296	21	154	10	49	411	742	798	10	799	558	148	10	1061	3896	10	141	10	3681	10	3564	1907	10	81	10	10	1074	10	266	10	1228	10	10	10	10	10	10	10	10	10	52	10	10	10
"33244_at"	19.3	25	79	225	626	169	251	501	116	335	1486	10	172	395	283	3917	44	1093	468	127	744	387	348	10	330	50	11	339	10	50	951	42	57	10	48	874	21	345	143	270	768	1564	53	10	265	25	427	10	107	10	38	60	141	542	95	10	72	10	10	390	247	71	394	10	234	42	339	10	362	10	27	10
"33246_at"	10	212	10	10	10	261	62	15	10	676	120	192	10	241	161	186	37	10	79	88	257	235	97	84	209	10	10	226	10	101	107	179	41	10	335	10	185	30	192	26	526	112	276	114	10	69	93	111	10	10	10	477	414	447	951	107	319	10	187	138	734	10	801	349	545	571	359	10	261	10	1153	148
"33257_at"	30.6	132	26	59	115	63	172	56	103	231	125	195	153	171	10	10	171	10	166	12	166	164	181	137	38	216	47	12	10	99	90	10	117	10	71	51	10	118	48	133	10	10	43	281	475	10	10	10	10	10	82	10	10	10	82	106	99	76	77	10	10	57	467	10	10	26	33	153	187	90	37	10
"33260_at"	189.2	536	10	257	10	10	174	16	270	10	175	190	10	10	10	498	10	400	23	10	201	373	10	141	208	130	111	10	10	10	10	30	75	10	10	22	10	166	10	10	10	361	10	626	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10
"33264_at"	229.3	948	123	34	416	736	1054	656	206	10	557	83	343	2270	140	454	10	524	494	760	514	179	562	266	85	98	152	10	10	217	10	10	164	21	155	10	64	10	10	357	149	10	10	314	198	100	67	227	55	10	10	170	267	687	10	20	10	10	10	128	116	201	63	10	158	203	10	78	185	19	233	10
"33277_at"	10	491	10	10	333	10	10	10	10	826	315	10	10	551	10	50	690	10	10	589	10	10	535	10	206	17	149	10	385	554	635	10	292	10	10	803	628	70	10	743	1104	1136	10	1641	1077	10	993	865	920	441	745	10	176	464	10	951	1631	876	10	982	1024	10	432	1014	110	1644	1337	1290	10	10	39	1189
"33284_at"	31.5	54	936	10	333	10	737	11904	176	14329	4093	2946	1389	500	185	2106	100	1085	2981	1290	8299	1017	743	10	1670	547	639	1995	10628	2512	15727	585	1183	20	163	5309	3835	7459	775	908	13153	620	512	138	13195	1584	7534	16000	1761	6882	16000	16000	13543	10	10	16000	2234	768	644	16000	16000	1574	16000	8361	5479	2217	16000	12948	14079	16000	16000	16000
"33289_f_at"	1377.3	916	703	1133	105	418	752	759	680	1260	1290	791	243	325	372	1152	573	493	991	512	376	539	326	427	461	283	489	487	608	340	318	245	175	180	65	307	83	552	50	300	10	1028	364	996	10	10	10	10	10	451	10	161	10	10	106	154	10	10	10	10	10	13	10	10	10	10	93	10	107	10	10	10
"33299_at"	1605.2	2362	491	823	148	1880	3014	1336	1428	67	2452	197	184	3260	233	1254	133	524	530	101	280	1277	1668	662	387	369	325	117	41	268	50	55	45	10	10	575	149	88	10	434	31	13	27	443	10	55	25	21	10	10	10	247	137	473	348	10	10	10	10	76	10	10	10	10	34	45	414	25	10	10	58	10
"33304_at"	10160	8632	3846	3794	3715	10102	12100	5954	2269	4227	11519	2577	11699	1907	119	6771	5702	4191	8473	5728	14275	1562	5298	5080	1022	10	1462	2035	1514	1074	10	2627	2922	5513	1088	254	1701	6609	2318	10	10	8629	2710	5773	455	83	3133	10	1403	10	10	223	36	10	660	341	468	215	1306	10	4068	496	259	10	377	2605	10	659	52	10	10	918
"33316_at"	249	112	124	26	76	352	316	232	10	141	549	156	111	254	10	447	10	65	168	218	286	21	146	125	353	322	10	254	10	96	10	124	88	174	87	123	135	83	137	124	10	197	42	179	10	54	141	12	48	107	10	77	109	383	10	57	154	57	10	10	10	10	10	10	19	10	19	10	150	73	27	40
"33320_at"	58.5	1062	10	270	1022	791	176	424	191	551	208	259	1454	488	106	603	192	135	1566	277	436	736	594	135	10	10	108	10	10	59	10	129	10	324	68	174	159	85	10	10	10	227	493	389	10	104	137	10	10	10	10	147	30	10	10	10	10	135	10	10	10	100	145	10	53	17	22	10	40	63	100	10
"33325_at"	319.5	383	190	10	127	624	1569	1243	387	279	896	10	106	291	414	143	10	559	178	388	151	509	814	148	201	256	125	81	34	10	210	213	118	2209	10	10	219	45	10	223	552	514	211	302	10	223	133	127	10	10	10	98	104	238	230	226	332	132	10	252	10	10	10	10	124	217	142	84	378	414	297	10
"33327_at"	111.9	192	192	10	61	95	146	290	198	204	578	51	10	250	10	98	315	12	66	217	115	160	242	10	10	85	119	74	10	18	165	10	261	10	10	80	175	88	60	151	105	269	213	181	14	39	10	10	453	10	136	264	168	14	81	10	10	90	10	10	10	42	387	59	29	10	90	89	186	281	10	232
"33329_at"	65.9	357	27	10	212	34	126	90	10	274	10	10	10	172	10	10	161	76	156	408	163	111	182	98	127	50	29	10	10	10	10	152	10	53	10	10	123	10	44	213	579	63	10	40	10	10	279	10	10	10	10	104	10	92	110	102	645	260	10	185	59	54	875	206	10	736	349	261	336	10	10	10
"33336_at"	605.8	589	159	203	1570	837	1670	16000	2253	2970	432	1910	6418	1317	291	1048	132	121	6281	308	11191	88	477	106	592	667	954	528	1800	110	542	771	850	974	662	1804	211	1170	415	230	237	3456	10	217	13075	1146	1087	465	727	886	1862	1746	10525	68	10	3149	4020	1134	6442	421	8553	201	1706	247	159	16000	3494	16000	363	10	596	897
"33714_at"	1358.8	390	10	622	10	350	294	142	63	10	10	10	10	36	10	142	97	259	10	10	10	10	281	62	10	96	322	10	223	10	10	10	25	84	40	223	10	10	10	10	102	10	10	11	10	155	202	10	10	10	10	79	217	10	14	320	45	10	10	10	10	228	43	10	154	72	452	270	69	10	42	10
"33727_r_at"	290.1	10	34	10	10	10	10	10	10	746	10	10	10	10	507	10	10	10	10	10	10	573	10	10	10	10	465	10	10	10	399	582	10	55	10	10	1033	10	545	2183	10	198	10	10	1241	10	1786	182	922	10	108	262	230	10	435	1161	762	619	3081	10	2326	10	10	10	761	10	422	10	3091	10	227	1873
"33729_at"	144.3	519	214	777	10	724	76	10	186	180	1014	560	251	677	37	10	10	124	435	10	29	403	10	252	333	10	385	40	1714	163	161	10	175	261	198	707	244	1052	351	362	136	699	155	479	10	10	158	29	10	130	10	181	257	239	174	167	10	10	10	130	10	145	137	13	10	10	344	210	10	15	158	10
"33731_at"	45	187	10	10	10	374	221	15	54	1705	10	10	32	10	10	10	10	10	117	28	10	252	10	100	250	10	82	48	10	10	10	932	591	2826	225	434	654	888	10	179	3076	86	1521	662	10	588	10	791	10	10	10	3459	10	10	671	292	97	220	141	10	10	10	909	1646	13044	203	288	59	5534	403	82	10
"33755_at"	10	159	141	10	12	10	161	397	272	10	10	10	118	155	10	240	10	224	10	113	405	266	10	10	297	19	374	10	125	152	303	114	145	10	10	141	309	10	10	427	10	626	10	623	10	10	22	10	14	10	10	16	38	201	10	10	122	14	10	10	288	10	10	21	10	10	333	10	10	14	218	10
"33756_at"	96	258	162	10	210	54	131	191	10	282	118	102	50	10	10	10	53	13	10	10	124	250	83	10	119	84	152	10	10	10	10	46	153	194	131	70	10	10	10	122	311	10	123	145	68	101	10	10	10	10	10	113	317	130	72	54	10	10	10	10	10	10	10	10	10	10	277	10	119	71	161	10
"33760_at"	494.4	330	45	156	643	167	670	394	567	571	447	186	88	711	218	542	152	230	109	399	229	230	467	52	345	96	230	93	258	207	356	10	220	672	138	116	13	78	10	439	819	464	301	589	82	194	10	74	10	10	478	175	267	210	10	294	10	10	10	10	10	140	141	10	10	159	405	418	10	10	21	10
"33767_at"	10	133	10	10	79	10	21	329	75	131	147	65	32	58	10	10	24	67	101	83	172	212	29	79	10	20	63	13	10	10	10	169	11	30	69	10	10	10	141	57	1578	10	164	188	82	184	263	48	55	10	20	10	199	282	134	79	167	50	10	143	10	87	52	84	171	141	59	166	292	213	154	122
"33777_at"	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	156	32	10	10	10	10	10	75	59	1555	10	10	10	10	10	10	2635	10	10	719	10	330	10	10	10	499	899	2512	1779	1880	10	10	323	10	10	1908	10	636	72	810	6684	10	10	10	3484	10	1173	10
"33784_at"	10	10	10	10	10	81	10	10	648	320	10	10	10	867	10	10	10	369	38	10	10	10	10	10	10	10	10	10	10	10	10	10	565	629	10	10	10	471	561	798	10	10	347	10	315	343	10	10	10	10	263	10	10	10	266	10	10	10	10	10	10	10	993	10	10	10	10	10	10	25	630	144
"33785_at"	144.2	142	10	544	31	391	680	10	81	338	68	54	10	892	910	453	76	135	10	90	10	1213	298	596	86	228	711	67	244	10	242	376	484	645	10	10	10	10	469	10	253	147	153	1250	10	10	10	557	10	675	10	358	10	10	10	582	747	170	10	10	10	489	10	10	48	10	1766	10	57	10	10	10
"33800_at"	762	1044	64	554	635	608	617	566	451	1091	538	414	220	292	108	737	10	330	602	551	474	134	573	87	512	1707	1272	272	71	1523	2361	1612	810	7291	638	885	1283	1181	279	1365	2338	1484	1581	4186	70	12	241	21	10	10	606	2188	10	21	230	20	10	42	10	23	10	24	56	108	158	17	122	10	229	117	44	10
"33801_at"	10	10	10	10	10	10	10	10	10	136	10	10	10	136	10	396	10	13	10	679	10	10	10	10	10	10	594	245	10	10	10	10	342	10	10	10	1315	526	1224	856	717	380	509	576	10	10	1091	10	10	10	10	10	405	1368	565	10	1275	10	10	1493	2043	10	2434	10	102	185	402	10	224	10	10	434
"33803_at"	27.6	30	10	10	81	91	37	78	128	355	59	139	71	10	13	10	10	71	209	166	112	100	36	16	104	153	91	10	276	10	90	294	47	954	61	141	161	324	181	55	456	163	11	86	30	247	10	10	105	152	503	1029	10	52	10	1135	382	723	43	171	3373	72	328	149	21	479	1317	10	143	10	62	10
"33809_at"	588.5	163	364	882	1317	17	518	89	1136	2224	1750	523	189	816	839	1509	341	548	1731	473	3207	1675	256	408	10	602	10	10	10	10	10	31	10	76	105	245	10	90	10	10	10	566	108	10	10	10	79	10	10	373	10	10	10	162	10	10	372	10	470	313	10	210	684	10	115	55	10	10	78	289	10	10
"33815_at"	318.6	698	139	10	377	285	386	898	648	1461	855	78	438	1042	762	2631	338	477	450	248	58	1024	621	180	996	409	939	54	10	1060	486	611	579	1732	1280	882	1389	559	95	852	1024	514	421	521	10	10	10	271	10	46	227	1358	253	712	1037	218	10	10	10	10	10	435	10	10	10	10	10	10	10	10	643	10
"34176_at"	730.1	2235	144	3167	2775	2030	289	1448	10	3780	203	2447	3872	570	10	1524	519	1878	1531	462	2493	201	1052	1194	234	10	36	606	503	270	10	151	10	1292	198	615	45	487	285	97	24	5409	377	768	10	88	686	181	10	306	10	29	10	10	10	10	150	75	276	10	494	55	35	638	35	121	10	10	303	10	10	185
"34180_at"	133.3	4885	362	8520	10	10	10	10	10	10	7369	1346	2033	880	10	10	10	10	3804	10	65	10	281	10	2667	10	10	10	880	10	10	10	201	10	1356	10	401	10	10	695	685	459	10	1438	10	1980	3333	10	10	1612	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10
"34185_at"	417.9	632	316	716	420	379	516	96	526	32	678	255	10	239	1120	475	571	166	10	409	81	1399	503	239	10	10	10	363	10	10	255	10	131	10	126	227	230	152	10	90	733	541	10	10	977	10	151	275	345	261	50	392	149	221	10	418	90	537	933	10	243	248	825	121	226	10	807	560	10	10	105	416
"34186_at"	228.1	10	201	10	225	59	256	122	258	13	138	10	10	505	10	10	91	159	10	321	35	22	350	10	137	95	102	67	34	10	125	179	109	10	34	276	30	10	173	514	216	16	212	10	63	304	303	10	94	90	251	121	354	182	385	277	10	56	10	273	186	28	468	226	30	10	232	10	259	258	10	10
"34189_at"	443.8	871	10	688	1315	1053	2279	1420	1204	1133	1860	276	732	541	1140	2030	127	432	1332	1199	213	982	860	311	845	901	1433	906	12	1032	1081	275	291	846	234	1151	1665	467	10	1298	1353	1274	598	1293	10	10	10	168	545	10	52	805	155	1423	673	10	10	10	10	10	10	41	18	10	10	10	10	10	778	10	727	303
"34194_at"	2756.6	4327	34	196	38	2871	2650	538	36	10	4057	10	10	18	10	10	10	10	92	29	57	49	943	601	20	75	16	10	10	10	10	32	10	146	58	10	10	40	57	108	112	613	88	28	87	32	59	10	10	10	10	10	10	94	124	49	85	125	10	77	10	10	100	10	15	136	64	10	87	67	99	14
"34198_at"	94.5	25	10	10	72	113	17	79	31	10	510	16	113	10	146	10	82	57	75	24	27	36	72	74	458	100	10	239	66	10	53	256	368	109	249	10	429	346	147	234	22	1031	75	10	49	10	114	10	10	10	10	10	10	189	10	10	10	10	10	58	10	10	10	10	10	15	102	68	16	84	17	121
"34200_at"	574.2	426	446	76	411	10	1325	10	10	13	10	342	10	10	10	608	10	10	623	10	10	10	135	124	277	299	306	252	232	10	186	10	258	770	10	179	551	212	263	10	10	1205	10	879	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	603	10	10	10	10	10
"34209_at"	10	443	10	10	55	10	10	161	10	336	341	10	70	351	10	10	10	124	10	10	10	150	10	10	241	18	10	10	10	10	10	10	10	10	10	10	416	10	599	135	400	10	359	491	10	10	501	268	61	10	326	165	255	10	401	234	341	273	955	394	880	255	651	10	10	1124	767	10	510	10	600	204
"34210_at"	12618	13951	2836	1563	5796	13345	7806	5506	834	4160	1045	1747	8639	362	3011	3517	16000	4578	1370	12485	16000	5266	14368	16000	1345	10	236	1221	10	535	10	573	202	264	5140	156	1230	246	3574	298	497	2127	5932	10	1166	900	8531	10	9301	11542	10	281	3769	4208	10	644	5819	424	6168	7925	1292	519	5494	2402	16000	10	285	10	7833	8651	1185	219
"34214_at"	95.3	22	10	10	131	71	10	97	74	64	92	10	10	121	10	10	10	10	38	94	69	150	142	10	10	73	24	12	10	10	10	22	10	39	10	91	15	20	44	249	164	10	149	124	219	79	166	245	10	10	15	10	221	153	222	67	147	342	80	154	24	37	219	318	10	102	143	195	312	195	235	26
"34223_at"	1186.9	241	328	1615	3886	707	400	586	170	3564	723	2216	786	10	10	10	10	10	2492	10	10	204	10	290	10	524	10	10	1103	10	2051	479	751	439	10	10	10	110	58	185	6242	10	1045	10	7549	4198	1101	5741	592	3053	117	716	3915	2977	10	7998	1241	1243	591	1473	4176	1490	2615	3809	5167	2077	1767	2401	8660	5546	4977	4992
"34230_r_at"	10	1141	130	1167	10	309	1202	143	10	10	208	1409	331	931	143	998	10	428	1176	10	10	10	111	10	10	1173	556	10	1403	101	10	10	332	98	10	437	10	1514	10	486	587	1523	359	889	2415	10	10	10	10	10	10	515	10	10	58	10	292	10	10	10	10	224	10	10	10	10	10	10	10	10	10	10
"34232_at"	260.4	202	10	10	82	316	275	88	156	10	266	99	202	67	184	24	28	10	10	505	274	134	288	59	10	239	275	10	95	121	10	65	248	84	108	10	10	10	10	244	194	10	111	362	493	10	10	10	144	200	10	241	10	496	112	148	164	10	10	74	36	890	1683	10	22	135	688	1436	190	576	440	305
"34233_i_at"	263.2	165	674	10	105	58	77	10	315	47	10	10	10	10	37	51	10	12	10	193	243	184	23	136	331	368	176	14	10	215	10	110	307	10	21	314	10	10	327	302	10	10	10	15	85	10	156	19	166	11	10	10	10	10	10	10	167	83	10	238	58	220	327	168	116	240	270	463	359	10	10	10
"34235_at"	88.2	126	138	10	784	755	10	727	198	607	415	57	72	42	10	10	240	134	202	14	85	10	309	10	10	10	183	28	10	10	10	161	10	405	218	10	144	10	10	10	508	328	243	292	84	27	10	10	10	10	10	124	27	205	229	31	164	372	10	317	10	10	543	189	347	573	10	212	413	10	571	194
"34236_at"	10	10	10	282	10	410	30	105	10	424	63	10	10	10	10	222	301	222	10	10	73	10	10	10	297	10	10	10	10	10	35	10	306	10	389	10	34	10	193	10	512	10	10	10	10	10	10	10	10	10	1079	554	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10
