	"Brain_MD_12"	"Brain_MD_61"	"Brain_MD_15"	"Brain_MD_57"	"Brain_MD_33"	"Brain_MD_64"	"Brain_MD_17"	"Brain_MD_62"	"Brain_MD_63"	"Brain_MD_32"	"Brain_MGlio_1"	"Brain_MGlio_2"	"Brain_MGlio_3"	"Brain_MGlio_4"	"Brain_MGlio_5"	"Brain_MGlio_6"	"Brain_MGlio_7"	"Brain_MGlio_8"	"Brain_MGlio_9"	"Brain_MGlio_10"	"Brain_Rhab_1"	"Brain_Rhab_2"	"Brain_Rhab_3"	"Brain_Rhab_4"	"Brain_Rhab_5"	"Brain_Rhab_6"	"Brain_Rhab_7"	"Brain_Rhab_8"	"Brain_Rhab_9"	"Brain_Rhab_10"	"Brain_Ncer_1"	"Brain_Ncer_2"	"Brain_Ncer_3"	"Brain_Ncer_4"	"Brain_PNET_1"	"Brain_PNET_2"	"Brain_PNET_3"	"Brain_PNET_4"	"Brain_PNET_5"	"Brain_PNET_6"	"Brain_PNET_7"	"Brain_PNET_8"
"U79241_at"	119	146	68	82	86	160	163	10	345	10	10	10	226	10	10	10	10	236	10	10	10	200	527	10	10	62	465	73	132	190	388	10	10	216	241	97	10	10	10	10	350	10
"U79245_at"	10	10	718	10	10	10	10	485	10	10	10	10	399	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	1772	4573	6235	5508	10	10	10	10	10	10	2065	10
"U79277_at"	82	10	108	32	10	10	137	35	10	10	10	10	10	10	10	178	10	10	10	10	10	10	10	10	10	88	59	19	11	10	267	10	10	10	174	10	10	168	173	10	10	10
"U79289_at"	84	21	127	56	13	202	26	304	72	101	10	120	10	82	10	10	67	10	168	10	10	45	10	10	10	10	10	13	10	10	388	691	500	679	49	31	211	10	10	71	402	46
"U79295_at"	71	96	16	32	10	189	10	290	112	85	10	10	346	265	146	10	10	48	10	239	10	10	20	10	10	91	101	48	11	50	309	924	179	10	309	196	519	10	10	476	10	10
"U79300_at"	10	40	10	34	63	30	64	10	10	10	74	49	24	10	10	10	10	10	65	10	10	10	10	14	10	57	10	10	10	55	10	10	102	118	10	10	278	13	108	10	10	67
"U79302_at"	10	10	64	36	10	10	10	10	10	10	130	76	10	106	49	10	10	10	10	10	10	10	10	17	10	59	10	32	82	10	97	10	426	10	215	10	577	10	10	10	408	699
"U79734_at"	52	10	10	10	10	10	32	10	10	10	498	10	10	389	64	10	189	10	135	164	203	131	10	1895	32	10	10	117	10	10	10	10	10	10	10	146	1144	19	10	275	548	670
"U80184_rna1_at"	10	10	267	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	1510	445	351	677	10	272	194	936	100	10	10	10	10	10	254	10	10	10	10	10	10
"U80456_at"	10	10	432	10	10	10	10	10	10	10	10	10	10	10	84	342	10	10	10	47	10	10	10	10	111	10	10	55	97	35	10	10	48	10	10	10	10	10	10	10	10	10
"U80457_at"	10	10	10	341	10	660	529	513	311	1019	1308	10	10	10	1424	14	1141	939	1302	10	203	188	541	665	558	10	10	10	10	10	10	635	400	2683	10	250	10	10	842	10	10	1267
"U80628_at"	10	16	10	161	93	10	10	49	10	136	10	92	10	10	10	10	121	10	439	10	371	167	10	427	465	35	168	276	10	561	10	10	105	252	85	10	10	10	252	66	10	492
"U80669_at"	10	10	10	10	127	10	320	10	117	404	550	1354	1458	10	649	10	580	168	1041	996	10	10	230	73	258	10	10	10	10	10	30	10	67	670	10	287	1038	10	10	10	320	684
"U80811_at"	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	76	265	10	10	10	10	164	5605	10	10	991	711	48	10	54	10	10	10	10	10	10	10	10	10	10	10
"U81262_at"	10	68	10	93	10	10	37	10	10	10	121	10	10	29	213	112	105	228	10	10	73	55	10	10	10	10	10	10	13	10	10	10	10	10	10	99	221	648	10	10	10	276
"U81523_at"	241	10	36	10	10	15	10	358	37	10	10	10	10	10	10	10	108	10	10	10	51	494	164	159	37	433	10	103	182	10	10	10	10	10	10	10	10	10	10	687	10	10
"U82306_at"	32	10	10	120	10	333	10	10	23	10	10	98	495	194	44	10	10	109	341	197	53	10	62	10	10	16	10	10	10	411	10	10	403	10	10	28	201	234	10	10	10	314
"U82532_at"	371	10	10	38	168	10	54	393	10	10	10	10	10	10	10	10	10	10	10	28	59	195	10	343	10	10	10	74	11	10	279	1527	496	170	10	10	10	10	10	10	145	10
"U82535_at"	87	10	128	10	10	231	10	184	147	54	105	535	423	247	56	10	10	10	526	549	10	10	10	10	10	246	10	21	10	10	698	353	1054	302	10	10	10	10	10	10	706	224
"U82668_rna1_at"	10	10	16	49	89	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	558	10	279	10	10	109	44	10	10	10	289	80	10	71	10	10	10	10	10	10	10
"U82818_at"	301	10	10	146	10	199	10	581	26	72	295	10	10	342	56	10	76	10	10	75	10	80	10	245	10	141	10	10	10	611	321	10	10	10	10	10	413	19	99	10	10	10
"U82987_at"	10	842	169	282	271	303	358	10	10	10	10	10	10	10	10	10	10	10	10	10	10	20	725	10	10	10	228	274	676	1654	97	1639	1086	10	10	10	10	10	10	151	636	10
"U83411_at"	10	10	97	528	10	10	10	10	10	10	10	10	10	129	10	10	10	10	10	10	10	10	10	10	10	3847	10	10	10	10	10	10	10	10	10	1215	10	10	10	10	10	10
"U83908_at"	135	10	104	53	10	10	10	67	106	10	10	10	10	10	10	276	31	10	10	56	10	90	10	92	14	10	102	88	44	10	91	10	10	10	103	10	10	277	14	10	10	52
"U84540_at"	61	10	285	10	10	10	10	280	10	65	1308	464	919	242	661	1802	623	14	1030	338	10	90	28	608	10	10	10	292	66	10	212	635	384	1047	10	33	711	24	10	10	10	125
"U84551_cds2_at"	56	10	699	10	10	10	10	446	10	10	647	2289	1338	596	332	1798	922	10	2257	136	10	10	10	158	10	28	10	49	10	10	1007	10	714	968	67	10	557	10	10	29	682	10
"U85265_at"	10	101	51	10	178	101	10	10	30	10	31	639	81	348	69	10	10	10	10	361	10	82	10	10	10	10	10	10	10	10	72	168	304	10	10	10	57	10	10	10	10	104
"U85767_at"	50	313	10	10	10	109	10	10	104	338	324	540	10	247	374	10	362	388	238	455	151	10	10	46	10	10	10	10	10	120	10	10	477	837	10	184	10	10	29	29	1324	486
"U86214_at"	20	169	49	16	73	10	10	10	10	10	10	147	10	10	136	10	10	10	21	394	10	23	10	194	86	38	10	26	10	15	315	249	89	374	10	97	10	10	208	96	10	17
"U87460_at"	10	51	132	33	10	10	10	350	108	63	10	923	28	59	230	225	929	1882	10	61	10	10	10	20	10	10	10	328	10	10	777	305	343	160	10	28	317	125	113	54	554	617
"U87964_at"	61	10	55	156	47	15	385	24	200	227	10	732	389	10	1152	76	10	123	10	145	10	10	294	96	307	299	19	10	132	15	1056	10	10	32	10	452	19	10	10	10	641	10
"U87972_at"	10	10	10	37	25	10	293	10	10	10	10	934	548	10	864	123	553	10	944	10	10	10	10	174	10	10	149	10	10	135	10	3866	1038	867	10	10	336	10	10	764	519	833
"U88667_at"	13	127	116	10	50	10	172	10	44	10	187	10	72	336	10	240	234	10	971	333	175	196	10	477	275	10	10	10	10	135	358	10	811	2371	10	138	19	460	10	280	1260	10
"U89336_cds7_at"	195	238	359	388	10	470	607	719	10	10	10	71	317	1676	10	327	10	761	1747	10	103	343	10	10	547	661	28	319	363	345	10	10	1320	75	10	10	10	482	10	253	192	10
"U89606_at"	161	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	220	10	10	10	10	10	138	330	244	10	17	980	250	10	10	10	10	10	411	692	10	10	10	10	10
"U89916_at"	10	25	117	10	10	10	10	205	10	10	10	207	216	10	17	10	832	10	222	51	37	10	130	372	15	10	160	13	10	10	163	249	708	160	10	57	375	10	10	10	10	145
"U89995_at"	10	10	49	10	118	10	19	141	10	10	10	10	14	159	116	10	29	10	59	10	10	10	10	30	10	59	10	10	41	50	10	96	10	407	62	10	182	136	10	94	10	10
"U90304_at"	47	10	10	14	66	207	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	407	10	10	192	18	65	10	10	10	10	143	10	10	10	426	10	10	151
"U90336_at"	10	188	117	10	10	433	454	2459	76	10	10	770	673	10	10	1190	10	10	1730	10	10232	405	336	10	306	289	137	3775	843	170	503	361	1090	2377	10	10	10	1068	128	10	4633	10
"U90544_at"	10	49	12	55	22	18	10	67	56	10	10	87	101	10	10	189	10	10	10	10	14	81	10	10	10	10	10	90	61	10	10	10	150	160	10	10	105	59	10	10	93	279
"U90908_at"	76	10	10	66	10	10	10	148	10	10	10	10	144	230	10	10	10	10	10	310	10	61	10	10	73	69	10	186	55	10	10	10	10	10	10	10	10	10	99	10	10	10
"U90913_at"	10	304	10	462	10	222	10	10	147	10	10	10	10	271	27	91	636	647	10	10	349	729	780	186	1258	1152	355	126	878	10	10	10	10	10	143	10	10	8947	411	10	10	10
"U91618_at"	10	21	10	10	10	10	10	10	10	40	10	10	596	10	337	10	96	10	255	122	10	1398	6159	3962	713	10	6234	10	29	10	24	10	10	354	143	101	10	46	10	57	99	87
"U93049_at"	10	10	10	10	25	10	10	10	28	10	10	125	10	10	10	699	10	99	10	10	10	91	10	10	10	277	10	73	22	10	406	10	10	10	10	41	10	10	183	10	10	10
"U93553_at"	132	51	10	24	173	119	10	134	16	10	169	486	10	47	99	10	119	10	10	10	61	200	10	120	10	10	10	10	29	10	10	10	10	10	10	12	10	10	10	124	10	10
"U94320_at"	41	40	38	10	73	10	15	244	33	18	67	10	57	53	156	10	10	10	124	10	10	10	56	10	10	10	15	21	23	10	133	10	96	137	31	43	10	10	495	200	10	192
"U96769_rna1_at"	158	10	10	126	10	144	10	10	10	10	10	513	678	590	10	10	229	10	54	343	10	10	16	36	10	10	10	10	10	220	868	10	10	1129	85	10	769	10	108	10	665	201
"U97502_rna1_at"	52	42	10	10	10	10	10	38	46	10	10	10	105	10	151	10	186	62	374	10	160	139	37	10	153	55	10	10	55	10	10	10	10	10	10	78	10	10	54	10	10	10
"V00571_rna1_at"	12	205	20	34	10	10	45	152	62	10	10	54	10	10	10	32	10	10	10	56	10	86	1201	47	10	38	160	280	110	15	109	10	25	10	268	2268	384	147	10	14	10	10
"X00129_at"	67	10	10	10	10	10	64	95	10	10	10	256	10	118	10	10	10	10	352	65	226	31	10	16000	326	229	168	38	218	10	10	10	10	10	40	10	10	51	10	10	484	151
"X00237_at"	54	10	51	10	10	29	160	10	10	36	153	447	14	673	416	10	49	10	363	451	10	10	10	15	10	10	10	11	10	10	10	10	64	88	10	99	673	62	346	173	776	93
"X00588_at"	13	10	10	10	10	10	10	10	10	10	101	393	10	330	10	69	513	10	1144	695	10	58	10	10	10	55	10	10	10	10	10	200	10	10	10	10	9347	539	148	10	10	10
"X00734_at"	10	10	1312	10	10	10	170	10	10	10	10	2354	10	10	473	804	10	10	10	10	10	10	10	10	10	10	10	10	10	10	3940	10	7873	2607	10	10	10	10	10	10	460	10
"X02530_at"	38	10	10	10	10	10	10	10	10	75	101	10	10	10	10	364	335	10	157	10	297	185	10	82	2577	222	167	10	861	10	115	10	10	151	147	266	500	10	10	10	10	131
"X02612_at"	10	10	10	10	10	61	54	159	10	60	142	10	10	10	10	10	10	10	141	10	10	10	10	19	10	10	10	51	10	105	127	10	176	656	192	10	10	54	143	225	10	43
"X04143_at"	251	10	10	10	10	10	10	10	16	10	10	10	10	10	10	10	10	10	10	10	10	771	445	10	180	10	249	286	188	10	10	10	10	10	10	10	10	10	525	10	10	10
"X04201_at"	19	10	325	10	725	10	10	981	190	10	10	606	1121	10	52	651	10	10	542	10	10	209	73	10	10	10	92	34	10	10	722	1237	1561	1954	13	35	932	10	485	153	746	10
"X04297_at"	10	10	10	12	10	96	10	141	10	10	10	10	10	10	10	10	10	10	255	10	117	174	10	19	10	10	10	207	89	180	194	506	307	10	10	10	10	10	10	10	128	139
"X04434_at"	10	21	648	315	10	445	204	1641	104	671	888	10	10	501	10	10	10	143	873	658	150	647	10	704	526	21	287	1061	288	175	346	10	10	10	10	10	10	10	213	10	10	64
"X04500_at"	59	10	250	10	10	10	109	602	10	10	266	3878	1285	980	10	560	220	799	21	272	100	415	10	355	777	10	79	436	184	10	10	80	2446	4824	10	130	1048	852	203	10	10	329
"X04571_at"	10	10	10	10	10	10	10	28	10	10	63	131	96	76	10	10	168	10	162	10	10	90	10	103	10	10	52	65	147	10	194	136	38	10	327	41	10	356	10	32	10	32
"X04688_at"	10	139	10	10	10	10	21	10	10	10	65	43	129	35	10	10	58	10	10	84	10	10	10	10	10	74	30	24	10	10	254	257	64	10	40	10	10	16	10	10	116	119
"X04898_rna1_at"	260	10	10	10	34	10	10	10	188	10	74	10	10	159	10	437	202	340	10	10	270	88	10	176	10	10	457	10	10	10	412	10	10	10	10	10	10	10	396	10	10	10
"X05153_rna1_at"	225	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	34	10	182	30	34	86	100	10	10	10	338	10	111	28	10	108	10	280	582
"X05196_at"	572	757	6246	571	1164	380	255	1400	410	997	4742	16000	12260	5768	6393	804	6022	473	14998	16000	120	607	158	339	366	10	294	1455	1335	20	16000	16000	16000	16000	2544	289	759	534	267	583	14197	2841
"X05232_at"	10	10	10	12	10	10	10	244	10	10	10	502	10	10	10	10	10	10	130	216	10	6572	10	10	16	19	2676	17	57	10	10	10	10	10	10	10	10	51	10	71	10	10
"X05615_at"	50	10	10	33	10	10	10	368	10	10	10	10	10	10	10	10	42	10	10	10	10	49	10	37	10	10	17	61	10	10	10	353	22	10	10	28	10	144	10	10	245	10
"X05908_at"	70	16	10	93	10	85	10	10	10	10	10	10	259	76	921	1500	2165	2305	10	10	848	13295	10	63	835	2472	253	5130	461	10	10	10	10	10	44	198	971	1563	59	10	10	323
"X06256_at"	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	226	10	10	10	226	171	10	64	1097	10	10	264	10	10	10	10	10	10	463	10	19	10	10	10	10
"X06290_at"	10	40	10	10	10	10	16	10	10	10	65	109	10	64	10	10	10	10	43	10	10	10	10	10	10	10	10	10	10	10	248	369	137	45	10	24	153	117	10	10	560	10
"X06389_at"	177	120	121	121	10	10	189	843	10	44	10	49	110	129	10	10	10	10	330	10	10	10	10	10	10	10	10	10	10	10	10	506	1667	341	10	22	10	10	10	10	385	10
"X06482_at"	10	37	20	50	10	10	10	148	10	10	83	152	96	29	10	10	10	10	368	10	10	351	240	269	10	10	10	10	26	10	503	10	10	10	10	10	10	108	10	10	303	10
"X06562_at"	10	33	10	16	10	39	57	31	12	10	164	10	10	70	10	10	119	180	238	10	10	40	10	98	10	129	48	36	10	10	10	233	144	10	10	204	115	585	10	129	180	49
"X06661_at"	62	108	427	22	10	10	102	53	30	59	85	49	10	10	10	10	38	10	10	10	10	26	10	10	10	71	531	226	168	10	977	795	2337	387	10	10	288	335	10	10	1114	10
"X07109_at"	10	1860	171	556	10	368	10	1492	10	328	10	10	808	495	10	29	10	10	884	10	10	42	208	130	47	26	10	36	36	90	4177	1302	493	10	10	215	10	40	10	10	10	10
"X07384_at"	94	219	270	823	892	1292	10	10	10	1163	10	10	10	10	10	10	10	10	10	10	10	906	1941	150	439	14	562	224	376	10	10	10	10	10	10	10	10	10	104	10	10	10
"X07495_at"	79	158	213	51	31	10	10	14	14	10	10	38	10	10	10	160	10	10	10	10	10	257	10	10	10	103	10	21	16	95	109	10	201	10	10	10	10	49	123	10	10	10
"X07695_at"	10	10	10	10	413	10	10	10	204	59	10	10	10	10	10	10	10	10	10	10	10	10	176	653	10	10	10	10	10	10	10	289	10	10	10	10	10	10	10	10	10	10
"X07743_at"	10	40	53	10	10	10	10	35	46	10	10	10	10	82	71	145	119	10	59	56	10	53	10	10	10	330	46	10	32	10	97	10	10	10	129	184	115	10	10	10	10	183
"X07820_at"	14	10	62	10	10	10	10	17	85	10	31	10	10	10	10	10	20	10	10	10	10	9206	10	48	10	141	1199	173	121	255	10	10	10	10	40	51	10	10	19	79	10	55
"X07834_at"	10	10	10	10	10	32	19	24	16	65	10	71	57	10	133	418	695	10	32	10	10	129	10	143	19	10	42	692	10	10	10	64	10	10	10	130	1548	62	10	10	10	40
"X12458_rna1_at"	10	10	10	10	246	19	10	10	10	10	10	961	240	10	10	10	10	253	10	10	10	10	173	10	10	10	10	69	10	90	1147	225	541	10	340	10	96	10	10	339	10	1675
"X12901_at"	50	10	69	18	38	48	10	10	17	10	10	10	19	10	10	10	40	10	10	126	10	103	10	39	10	10	10	24	10	10	10	176	118	10	10	955	10	10	10	10	10	10
"X13334_at"	10	10	10	321	10	10	10	10	10	10	10	1644	24	10	1286	1056	1228	2406	10	10	2062	10	10	1721	1476	6357	357	743	416	10	376	10	10	10	10	5082	10299	10	1183	10	10	1547
"X14445_at"	10	179	10	10	10	33	86	35	23	10	10	158	10	10	10	10	245	10	309	51	10	38	10	208	10	10	10	51	26	10	789	10	134	10	156	43	317	10	10	10	840	10
"X14787_at"	68	21	10	10	10	11	19	538	10	10	31	98	52	10	10	10	10	68	10	32	10	1112	10	17	10	498	101	84	188	10	36	10	10	10	10	177	10	1206	10	213	81	78
"X14813_at"	162	10	10	10	10	10	30	439	10	10	85	2163	577	10	602	386	866	10	10	10	634	803	10	343	501	297	571	830	453	10	10	819	10	128	10	634	10	87	10	10	601	20
"X14830_at"	263	63	101	86	10	111	10	223	158	10	13	10	10	10	10	10	270	10	217	10	10	186	10	212	10	114	177	38	75	10	10	10	189	10	215	35	894	435	317	372	822	134
"X15088_at"	133	82	11	100	173	38	459	10	10	10	10	21	250	10	128	10	10	10	10	155	10	35	10	10	10	11	17	10	30	10	218	10	80	10	10	10	10	10	10	372	3075	81
"X15376_at"	1285	87	191	143	68	157	1347	3899	24	296	714	10	10	442	10	10	216	10	1676	10	10	153	292	10	10	10	10	53	10	10	1730	10	1115	10	10	10	115	10	500	1029	3151	160
"X16282_at"	10	51	10	73	10	239	1507	10	10	10	10	10	10	59	10	10	10	10	10	10	47	188	132	10	10	10	83	10	10	10	10	10	10	10	10	10	10	84	10	10	10	10
"X16354_at"	36	10	10	10	10	10	10	10	71	10	10	27	10	10	104	10	123	10	265	10	21	82	31	40	10	26	120	284	262	10	273	10	10	10	327	130	10	106	94	10	10	87
"X16662_at"	68	10	10	10	10	10	101	10	87	102	10	163	192	135	10	134	10	20	10	10	10	10	10	10	10	45	10	59	72	150	10	876	10	482	10	24	10	54	10	106	11	10
"X16706_at"	255	10	10	33	10	10	10	10	10	10	10	10	346	301	10	225	10	10	10	10	10	316	10	10	10	16	10	57	10	10	285	10	10	10	10	10	10	10	173	101	10	10
"X17025_at"	336	10	10	75	10	104	10	131	32	10	10	10	799	531	10	193	10	10	737	10	1348	566	10	975	483	10	305	244	595	10	248	10	461	10	10	295	10	10	10	513	10	10
"X17098_at"	10	10	73	99	267	10	10	10	10	10	10	10	10	165	10	18	10	10	10	277	10	10	10	10	10	10	10	10	10	10	10	96	567	10	10	16	711	10	10	59	344	10
"X17651_at"	10	44	434	493	10	428	238	81	136	10	196	10	587	366	10	10	65	121	992	1066	10	10	10	10	26	10	10	10	10	15	443	852	1417	1612	237	10	163	1171	10	774	10	644
"X51420_at"	362	10	10	10	10	10	10	10	26	10	10	21	10	17	10	10	10	68	10	159	10	1728	10	10	670	10	2756	17	954	35	121	860	285	377	250	10	10	10	138	575	10	10
"X51630_at"	10	40	68	10	10	10	10	155	10	37	10	38	10	88	10	10	10	10	179	10	33	119	2369	14	463	196	136	21	121	10	18	10	269	10	10	107	10	10	10	10	163	10
"X51757_at"	1014	30	10	14	331	10	10	10	10	10	10	10	1910	10	10	10	10	299	10	10	10	6202	79	587	10	572	25	1011	68	10	315	184	10	10	10	2760	10	152	277	10	105	10
"X51954_at"	38	10	58	36	10	168	42	163	122	10	10	10	10	70	10	10	10	10	10	10	10	78	10	69	77	23	26	44	59	10	18	10	10	10	10	10	10	193	10	178	10	10
"X52001_at"	10	68	42	10	15	25	10	60	10	73	10	147	105	10	146	18	2552	10	10	10	10	10	10	36	10	10	10	10	79	10	303	241	10	10	67	51	10	10	99	71	64	10
"X52003_at"	10	10	10	10	10	10	165	56	56	10	10	355	10	10	10	10	10	10	341	888	10	54	151	47	143	10	50	36	10	10	10	10	10	10	268	43	10	38	217	10	13853	183
"X52005_at"	18	80	92	32	10	10	10	287	10	10	51	535	10	10	27	69	103	10	255	404	10	93	10	10	10	69	10	11	29	10	30	522	621	341	246	95	10	686	29	10	10	17
"X52008_at"	154	10	40	148	52	10	10	691	28	10	10	10	10	10	10	10	10	10	146	10	10	458	131	408	272	10	524	36	100	10	84	562	10	289	10	10	10	10	10	977	10	10
"X52599_at"	27	422	200	222	216	209	170	10	96	208	439	437	10	336	10	10	10	10	488	620	10	10	10	10	10	62	10	10	19	10	48	1511	484	19	10	310	817	10	10	275	659	367
"X52638_at"	264	10	145	265	10	267	565	10	51	10	10	1813	986	643	81	105	10	639	10	1555	152	346	42	10	147	232	596	10	184	436	1305	10	157	10	10	10	471	618	10	10	1908	10
"X53414_at"	10	75	10	58	10	10	10	10	10	1374	10	10	10	10	2094	10	474	10	10	10	10	10	57	148	98	76	10	10	10	717	10	3199	10	3566	152	10	96	10	980	419	1172	2544
"X53587_at"	10	10	10	10	10	10	10	10	10	10	10	10	1472	10	842	1518	204	10	10	56	10	10	10	10	10	10	10	2531	10	100	10	10	10	10	10	10	1615	10	10	10	10	2447
"X53795_at"	10	10	10	10	109	10	10	10	158	952	10	10	120	10	386	10	10	10	10	10	10	10	432	10	10	378	10	10	10	481	10	3199	10	10	223	14	134	10	1699	727	10	163
"X54131_at"	69	10	10	10	10	24	48	531	19	10	139	655	10	490	10	10	252	10	10	239	165	10	10	55	89	98	10	10	29	10	188	40	163	318	228	26	10	10	10	10	268	177
"X54162_at"	10	10	10	10	10	10	10	102	10	10	10	10	10	141	10	10	10	10	10	10	10	10	10	10	10	162	10	10	76	10	115	10	10	10	58	10	10	10	10	10	1832	10
"X54380_at"	10	10	10	10	10	10	104	10	10	10	10	10	10	10	391	10	10	10	10	10	10	10	56	10	10	10	17	44	10	10	36	10	10	10	10	20	10	10	113	436	10	75
"X54673_at"	10	311	10	93	10	32	100	10	10	68	1368	1354	746	773	500	10	20	10	1448	728	10	10	10	12	10	10	10	10	10	10	10	10	10	10	10	72	173	24	10	10	303	10
"X54925_at"	13	10	25	10	10	10	10	31	10	10	10	10	10	41	10	10	10	18	108	98	10	3279	26	13	28	10	87	78	66	10	66	72	112	52	138	10	57	10	10	32	303	10
"X55740_at"	10	10	16	10	10	10	39	10	37	63	401	49	250	454	589	291	420	500	455	10	240	52	10	74	10	553	30	115	107	381	10	64	10	10	129	153	10	10	10	10	10	37
"X57206_at"	76	148	248	233	10	10	10	38	160	10	10	10827	8009	10	560	3714	3002	829	944	719	224	10	1334	13	10	201	10	474	235	1108	1475	1446	718	3915	107	376	3500	5261	10	10	1137	198
"X58022_at"	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	103	104	10	10	120	1230	10	10	34	10	10	10
"X58079_at"	43	10	10	10	10	10	10	10	10	10	105	732	1136	100	515	10	398	10	10	65	10	738	10	89	798	10	5507	507	1316	200	103	209	10	436	10	10	10	62	10	10	10	3301
"X58288_at"	38	33	128	50	10	10	10	10	233	10	10	49	43	88	428	54	10	10	10	10	839	10	107	10	10	349	106	119	260	55	795	787	487	10	10	66	10	10	10	10	10	10
"X59656_at"	45	10	10	10	10	10	10	141	10	10	10	10	10	10	10	473	10	10	10	10	375	10	10	14	263	10	10	19	10	10	10	10	10	10	10	10	10	10	10	10	10	10
"X59766_at"	10	455	230	165	10	10	65	10	76	10	10	2868	1063	348	193	134	148	220	1541	1489	10	10	10	10	10	88	10	51	10	90	679	618	634	10	26	10	298	550	10	208	361	3022
"X59798_at"	10	313	1058	15	10	10	10	10	490	767	7201	229	10	11053	10	16000	753	76	11362	554	3700	3893	1492	853	2018	1015	1900	2235	3277	3449	10	10	10	10	10	3941	10	11541	2110	10	10	8792
"X59812_at"	62	10	10	10	10	10	695	1541	209	10	10	10	10	10	10	10	321	10	10	10	10	803	404	10	10	210	10	2893	248	436	898	10	10	10	10	126	86	10	10	10	490	938
"X60382_rna1_at"	10	66	10	10	10	17	10	297	10	10	29	71	375	10	10	43	10	10	32	145	10	169	10	11	20	392	10	10	79	10	10	10	60	160	107	10	10	10	217	10	10	10
"X60655_at"	322	122	298	441	10	308	43	301	112	10	10	10	10	206	10	251	10	10	10	10	215	743	321	246	650	138	57	261	10	10	10	10	10	10	10	10	10	463	475	250	10	10
"X60708_at"	10	10	58	23	10	10	10	81	10	96	10	10	10	10	156	10	364	123	10	10	13	10	25	120	475	275	105	73	32	10	10	530	10	10	10	159	10	119	10	10	10	10
"X60992_at"	10	47	77	10	10	10	10	163	10	10	10	174	10	354	10	10	10	10	455	324	41	108	10	10	10	31	163	10	54	10	388	10	10	10	10	206	298	10	10	10	128	323
"X61587_at"	10	10	103	10	66	264	41	226	120	10	10	742	10	10	10	491	744	366	10	10	1079	1033	726	1229	588	766	217	553	480	631	734	10	10	10	10	789	10	10	10	10	10	10
"X62822_at"	10	10	252	462	511	10	37	762	46	10	10	10	10	10	10	298	10	10	10	188	10	10	10	776	10	10	10	10	10	10	10	10	10	10	10	10	10	24	307	10	10	10
"X63097_at"	11	10	95	71	10	77	10	209	10	10	76	398	10	10	10	10	10	10	54	239	10	10	10	10	10	10	10	10	10	10	10	10	10	10	210	88	307	10	10	10	437	134
"X63578_rna1_at"	106	10	1828	10	10	116	155	10	96	10	10	10	10	10	10	10	162	18	113	10	10	10	199	190	10	210	10	10	10	130	10697	16000	16000	10011	62	10	653	144	148	568	700	250
"X63629_at"	267	10	10	10	10	10	10	95	10	10	879	10	10	10	327	491	227	99	10	10	552	234	10	170	167	342	1810	526	1030	431	10	10	10	10	85	64	10	381	213	10	10	10
"X63755_at"	10	186	10	10	29	141	10	10	10	10	1786	611	673	1493	1149	10	49	89	596	648	10	10	10	10	10	10	10	10	10	175	10	1406	795	653	10	10	2269	542	10	10	99	154
"X65633_at"	10	10	71	94	10	131	10	354	10	10	10	349	10	608	10	10	10	91	10	117	10	218	10	10	242	10	10	30	100	10	163	10	44	10	10	316	10	275	639	10	10	10
"X65663_at"	10	10	10	19	18	10	10	10	10	10	130	10	91	242	86	98	65	10	233	10	40	11	10	58	18	14	10	10	10	10	10	10	10	10	26	10	10	100	10	10	262	10
"X65977_at"	10	10	10	12	114	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	19	10	10	10	10	10	17	10	120	78	1318	10	10	10	10	10	10	10	10	10	10
"X66360_at"	55	10	31	22	10	44	34	1226	10	10	10	10	10	23	10	10	22	10	103	10	11	10	10	10	10	10	19	10	10	10	10	10	10	10	10	37	48	40	10	47	46	26
"X66362_at"	344	10	134	10	10	10	10	10	10	10	10	256	683	10	10	469	10	10	54	10	140	43	10	242	25	76	33	311	199	10	522	10	10	10	10	10	10	212	10	151	10	10
"X66365_at"	10	845	618	376	10	1349	580	563	409	165	297	1414	10	761	10	10	225	10	1182	526	10	10	10	88	10	320	10	67	280	626	916	10	1013	2456	197	10	67	141	10	96	10	78
"X66945_at"	529	630	826	1280	36	1570	93	3346	547	16	56	453	240	277	701	3160	859	3301	482	10	11445	16000	16000	16000	1970	3739	5221	14425	3606	11898	2015	5458	8098	9058	10	1583	10	16000	713	12	10	2299
"X67325_at"	265	10	10	10	10	10	10	10	10	10	10	10	10	10	10	1653	47	224	10	10	5107	28	10	10	8921	2761	1005	297	2112	10	10	10	10	10	10	2001	10	10	10	10	10	10
