	DLBC1	DLBC2	DLBC3	DLBC4	DLBC5	DLBC6	DLBC7	DLBC8	DLBC9	DLBC10	DLBC11	DLBC12	DLBC13	DLBC14	DLBC15	DLBC16	DLBC17	DLBC18	DLBC19	DLBC20	DLBC21	DLBC22	DLBC23	DLBC24	DLBC25	DLBC26	DLBC27	DLBC28	DLBC29	DLBC30	DLBC31	DLBC32	DLBC33	DLBC34	DLBC35	DLBC36	DLBC37	DLBC38	DLBC39	DLBC40	DLBC41	DLBC42	DLBC43	DLBC44	DLBC45	DLBC46	DLBC47	DLBC48	DLBC49	DLBC50	DLBC51	DLBC52	DLBC53	DLBC54	DLBC55	DLBC56	DLBC57	DLBC58	FSCC17	FSCC3	FSCC14	FSCC11	FSCC8	FSCC16	FSCC15	FSCC5	FSCC10	FSCC12	FSCC4	FSCC13	FSCC7	FSCC18	FSCC6	FSCC19	FSCC2	FSCC9	FSCC1
U74667_at	631	105	438	10	10	10	10	12	10	106	10	10	284	216	417	277	370	82	277	10	10	379	114	390	540	10	10	108	50	10	989	177	10	920	259	385	274	336	10	107	165	497	10	10	169	670	174	138	165	668	48	135	10	343	799	160	138	649	879	10	10	10	10	10	525	469	341	599	466	220	484	477	300	10	371	63	49
U76369_at	10	110	163	10	10	10	10	10	10	219	10	10	39	122	10	99	21	224	110	10	10	179	184	142	10	10	149	10	10	167	10	10	162	10	10	10	40	90	171	10	10	10	311	10	75	65	10	10	22	205	116	10	10	10	10	78	109	79	10	14	111	247	33	253	11	10	10	112	10	302	10	10	40	345	90	10	95
U76421_at	29	76	730	109	10	205	61	299	10	196	10	344	190	87	10	84	34	10	235	10	149	67	23	10	10	104	67	10	10	10	86	10	169	168	10	413	251	85	10	10	10	20	10	99	10	441	10	10	10	160	10	3113	10	10	26	10	62	10	470	85	10	10	129	10	10	36	52	924	51	404	339	533	73	75	39	14	56
U77643_at	10	1421	1219	491	10	446	101	578	98	1566	10	2709	384	1684	118	10	113	10	10	10	10	696	10	336	960	10	10	32	10	37	10	69	10	815	571	1625	523	1092	355	182	395	226	20	1179	152	557	10	124	156	10	38	45	1051	10	121	88	147	1260	10	99	10	10	10	742	10	10	10	105	10	96	10	147	124	10	158	107	10
U77968_at	10	10	193	150	10	156	10	10	10	10	320	16	274	10	10	125	10	10	224	10	10	453	10	10	534	10	25	10	10	355	10	10	10	348	10	201	191	31	10	10	10	117	10	10	22	10	10	10	87	10	10	10	10	10	197	10	10	489	374	139	10	10	73	94	10	24	10	10	47	106	10	10	72	10	163	90	102
U78735_at	39	10	10	49	10	10	235	192	132	58	51	121	10	173	172	10	203	24	10	10	10	77	12	29	31	10	166	10	10	78	98	10	270	84	10	10	43	63	10	80	22	198	301	158	10	10	10	10	10	210	23	10	10	168	72	10	91	10	135	32	223	112	130	137	140	10	33	277	40	181	84	34	55	35	10	58	107
U79255_at	10	681	10	10	65	10	10	10	228	10	949	286	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	322	10	10	10	46	10	10	10	70	10	10	10	10	10	61	10	10	10	10	10	10	10	392	10	567	10	10	10	9573	10	10	10	26	10	10	10	10	10	10	99	10	10
U79258_at	31	202	215	365	170	149	332	471	435	269	395	256	56	10	278	11	68	10	81	10	10	163	10	88	67	10	32	10	61	30	10	77	611	83	66	103	350	327	372	182	93	64	10	282	22	10	20	108	58	63	73	10	35	10	79	67	136	75	65	10	10	93	10	64	16	10	167	168	41	11	168	14	10	139	65	38	10
U79280_at	10	10	284	297	263	10	10	10	10	10	320	138	10	761	283	10	404	77	383	29	196	100	10	263	114	206	10	111	434	63	94	674	10	203	10	10	10	81	10	182	10	15	221	40	183	10	85	76	10	286	10	10	10	583	48	101	202	104	246	10	519	490	10	425	134	10	10	398	10	47	46	10	10	87	10	10	126
U80184_rna1_at	10	751	10	753	320	570	841	10	408	923	335	993	481	10	10	396	105	10	10	10	10	169	10	10	128	10	10	10	10	10	10	10	1336	519	10	723	1009	411	10	10	10	404	10	933	11	10	10	89	196	10	454	10	10	208	356	10	10	10	10	10	10	10	10	10	10	144	95	10	31	746	10	101	10	10	10	10	10
U80457_at	418	10	464	10	432	283	309	447	15	436	696	299	105	10	10	10	10	10	10	38	401	10	40	80	56	328	417	440	10	10	10	10	261	10	1030	350	242	534	762	10	29	78	192	283	10	10	256	419	10	10	828	860	384	857	92	10	17	10	10	698	10	10	530	1524	10	395	10	10	56	103	10	212	10	734	42	10	10
U80669_at	10	10	10	15	10	10	169	10	10	10	97	10	10	316	267	98	10	96	10	10	306	10	10	10	448	426	10	313	10	10	10	10	434	10	255	10	10	10	483	58	10	10	10	115	10	168	327	10	10	10	20	10	10	437	10	10	10	177	10	214	535	10	10	51	275	10	10	143	10	10	10	225	10	10	10	10	10
U81607_at	10	262	27	10	10	56	10	10	10	278	10	10	10	10	20	10	333	52	162	229	23	57	35	149	145	10	42	10	10	142	127	76	10	11	37	142	37	10	10	10	18	130	10	10	54	104	13	10	21	224	52	1376	26	165	41	16	87	530	10	10	10	10	11	10	10	10	36	10	1697	135	67	10	10	27	37	10	10
U81984_at	10	227	10	87	303	22	10	10	775	90	694	11	203	302	231	268	10	250	226	216	138	24	303	231	74	154	10	159	516	436	10	10	874	162	486	41	359	80	162	34	178	80	10	541	10	59	520	78	10	140	77	1042	358	10	10	10	10	10	209	289	204	297	253	4421	367	10	10	837	570	689	10	10	107	303	213	42	704
U82306_at	171	102	50	33	122	10	54	36	10	158	86	10	43	295	10	160	235	60	10	79	53	298	162	151	10	123	245	133	423	458	244	292	266	10	10	50	31	22	229	10	62	51	205	88	10	10	44	152	10	187	10	10	235	333	61	75	141	202	142	10	251	347	32	10	33	10	10	163	61	10	129	29	60	10	10	10	99
U82532_at	131	101	176	434	136	122	180	218	10	231	163	10	86	94	195	10	10	10	10	58	210	10	135	57	339	204	10	76	10	10	10	10	93	79	217	57	138	42	549	10	10	52	10	255	122	10	10	63	105	10	10	129	10	22	72	10	94	442	10	94	217	10	103	10	10	122	10	111	10	10	158	36	139	10	10	139	272
U82613_at	95	600	10	55	384	232	160	614	10	707	30	10	10	569	152	10	21	10	10	30	26	10	18	223	294	390	262	236	523	203	41	421	608	12	590	10	169	135	485	170	10	53	10	157	223	10	500	224	10	10	10	139	10	541	10	557	50	375	10	581	240	493	286	10	205	43	338	131	10	10	10	10	10	668	10	10	522
U82759_at	10	426	105	124	209	97	185	10	10	235	372	260	10	10	10	10	262	10	10	10	10	336	61	161	235	133	10	183	10	10	86	10	10	196	321	173	74	103	212	92	10	10	171	48	234	229	11	10	10	10	21	639	156	10	10	10	10	234	52	323	10	148	127	2232	10	10	10	188	10	55	50	205	10	410	10	10	61
U82818_at	115	135	10	285	289	68	10	220	10	194	387	123	10	177	10	144	185	10	10	10	10	10	10	81	10	10	10	10	146	11	257	159	10	42	10	10	109	217	10	10	10	10	10	153	10	10	10	10	10	91	10	109	55	201	176	145	56	30	267	56	10	10	86	10	10	10	117	48	10	10	104	103	10	10	17	10	286
U82987_at	211	530	427	630	390	550	1288	396	685	660	1035	744	633	10	10	383	10	172	512	45	10	10	10	10	122	165	10	108	10	53	10	10	956	76	155	360	498	1006	10	10	10	845	10	770	10	10	10	165	10	109	64	363	10	10	79	171	10	10	10	10	10	33	10	10	364	10	33	138	10	10	129	10	10	438	10	177	10
U84487_at	10	146	190	372	10	128	1004	36	10	138	161	141	10	48	15	31	56	10	961	20	29	174	43	138	104	188	10	10	11	89	10	16	522	117	132	71	90	218	10	10	114	10	54	238	24	10	10	10	81	178	90	10	74	22	69	10	205	68	10	10	209	10	10	10	51	12	10	20	10	15	45	10	10	10	10	29	10
U84573_at	43	552	10	232	83	295	355	39	16	857	10	48	290	10	10	10	50	81	25	10	45	952	58	10	184	10	10	16	10	10	1076	14	10	872	10	20	30	74	10	10	22	185	10	10	32	10	10	10	237	15	434	95	10	10	454	10	19	10	10	10	10	10	50	291	10	10	20	10	10	10	10	10	10	95	10	10	29
U84720_at	88	1603	738	1114	639	738	1123	1003	1610	1030	368	1128	999	39	10	473	148	278	125	299	10	897	293	433	745	10	10	141	10	241	516	80	1375	462	10	636	1152	1674	10	10	473	424	59	900	125	1190	314	208	329	286	635	1810	199	122	463	10	387	38	173	57	10	10	10	10	16	229	10	270	447	146	10	57	218	10	481	75	10
U87964_at	200	10	259	148	10	10	217	10	32	10	10	73	10	55	208	10	583	10	498	72	15	10	10	10	10	10	119	10	221	152	10	381	10	10	619	110	10	10	10	194	251	122	10	10	10	747	10	216	10	10	321	256	167	10	293	10	10	48	483	15	463	495	10	678	226	10	10	10	180	214	247	375	10	578	10	179	166
U87972_at	10	10	10	10	10	10	10	10	10	10	10	10	10	119	229	10	10	10	298	10	69	10	10	10	10	217	145	108	59	10	10	10	10	10	75	317	10	10	267	10	10	10	17	10	10	10	29	116	10	65	109	706	10	256	10	267	10	12	10	10	376	283	88	4310	10	10	80	124	10	10	10	10	59	203	10	214	10
U89336_cds7_at	10	262	10	176	266	68	524	312	10	10	10	338	145	10	10	17	213	10	424	135	10	10	47	10	10	10	239	10	68	211	10	252	288	46	10	105	423	635	10	10	122	260	256	294	10	10	20	10	158	55	71	468	13	10	131	117	124	34	109	10	10	10	10	10	10	10	10	258	34	10	10	10	136	161	10	10	10
U89606_at	158	629	166	10	10	473	859	10	10	799	10	975	553	94	10	10	199	76	398	10	10	838	91	10	131	10	74	10	10	10	10	10	319	501	10	521	436	10	119	10	10	193	131	203	10	10	10	10	353	10	133	60	353	10	180	10	10	169	10	55	10	10	10	10	10	10	10	10	10	81	10	10	10	10	10	10	10
U90551_at	21	46	88	10	1067	10	339	224	270	10	10	128	10	10	74	211	133	10	539	171	10	135	73	133	31	25	82	10	10	10	272	171	410	352	33	217	281	510	10	91	381	344	10	186	36	689	139	661	55	108	187	395	223	275	555	74	106	10	14	74	10	135	10	98	242	399	277	15	151	1313	149	155	40	10	460	12	214
U90913_at	10	768	10	10	10	333	542	208	193	957	10	241	399	10	10	10	10	10	463	10	10	304	10	10	405	10	12	10	10	10	452	10	237	1013	10	276	74	328	10	10	10	379	59	180	10	301	10	10	890	55	171	251	56	10	320	10	153	10	10	10	10	10	10	10	10	10	10	10	10	10	128	212	166	10	28	10	10
U90914_at	59	152	32	27	25	131	54	14	10	100	10	10	71	32	10	10	10	10	103	10	324	192	10	10	33	10	14	144	75	198	33	99	10	248	170	211	40	132	256	12	90	115	10	86	10	378	200	10	20	91	137	10	38	58	108	49	153	75	10	297	233	11	10	21	10	98	60	10	10	10	10	114	10	285	12	10	10
U90918_at	69	10	62	10	10	10	10	14	62	64	147	85	90	281	164	109	83	10	261	16	399	784	153	150	21	10	248	96	560	369	561	576	10	436	207	83	10	10	37	46	366	233	204	10	10	10	81	90	10	89	10	152	36	184	291	63	121	380	241	10	320	355	38	10	25	23	155	454	409	192	137	62	107	287	19	10	179
U91616_at	49	381	263	146	95	276	682	10	1581	491	141	425	771	163	10	53	10	345	10	96	10	113	10	10	10	10	10	10	10	23	10	10	520	516	10	203	27	1222	10	42	10	456	164	852	91	10	10	274	315	147	141	10	26	19	10	10	216	52	10	10	10	10	10	10	10	10	10	10	10	95	10	35	65	10	23	10	10
U91985_at	134	119	378	374	308	363	291	428	201	220	458	329	228	10	10	451	124	10	391	35	10	10	158	176	113	10	10	10	10	10	226	10	859	43	10	202	596	946	10	238	99	428	73	345	32	328	10	170	78	129	51	67	170	37	557	10	114	30	10	10	10	10	10	10	10	84	10	216	83	197	96	10	49	10	32	61	10
U92971_at	367	14	10	31	10	10	88	10	136	10	10	10	10	25	10	514	118	223	10	319	127	10	302	559	331	434	127	86	155	436	193	451	10	489	411	75	10	10	10	15	111	173	432	10	15	10	191	412	236	50	537	723	405	10	45	245	317	359	328	197	305	1228	423	1086	412	339	358	226	14	241	95	149	83	909	63	170	291
U94747_at	10	10	10	10	10	10	10	10	10	10	10	10	10	10	64	10	573	54	164	10	10	798	10	62	387	204	10	10	10	10	48	424	10	681	10	25	10	66	10	10	349	86	389	10	298	10	10	10	103	436	87	10	10	10	278	10	10	415	10	10	10	10	10	10	10	10	10	640	145	10	10	77	10	10	10	10	10
U95626_rna1_at	10	154	35	101	10	264	10	10	10	45	10	21	90	230	221	20	10	139	29	90	170	156	79	10	248	177	96	10	141	10	54	78	10	175	141	207	10	10	162	20	10	62	82	10	10	182	94	10	10	10	97	100	146	50	40	241	126	254	103	187	113	10	125	10	110	340	172	10	11	104	256	514	304	137	67	21	131
U96094_at	10	4964	85	10	482	100	278	10	206	5046	57	199	1155	89	92	1223	889	462	10	52	274	10	538	1094	422	10	471	266	10	405	10	2915	379	363	704	654	230	10	10	111	125	560	10	184	321	487	239	223	614	521	496	1118	237	387	270	10	118	10	105	10	191	10	10	10	10	235	101	199	900	151	221	708	249	10	204	589	10
U97502_rna1_at	29	18	10	249	10	38	10	10	87	95	10	164	28	10	10	10	252	10	10	105	10	10	59	10	165	20	10	10	10	49	10	10	86	406	10	526	121	10	10	91	130	164	10	10	10	133	13	205	164	30	133	198	328	10	182	10	67	10	126	121	71	10	10	124	124	145	10	174	130	170	119	281	129	10	604	22	101
X02544_at	1964	7650	3452	10	10	363	10	676	10	9522	10	510	4499	10	10	10	10	170	10	10	10	14700	10	10	10	10	10	10	10	10	10	511	10	2373	10	180	10	10	10	10	10	901	1590	640	1671	10	10	10	10	215	10	10	10	10	10	10	1310	5114	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10
X02751_at	53	10	91	49	78	12	10	87	10	10	13	27	160	10	10	161	24	134	132	10	10	302	85	96	77	10	10	67	20	35	154	143	146	302	10	65	62	109	10	42	87	25	10	18	81	272	27	223	33	122	24	39	224	150	276	10	54	116	115	10	10	10	10	10	106	276	10	52	268	59	79	42	39	10	272	10	10
X02910_at	10	115	109	158	10	171	881	10	10	196	10	125	259	83	10	40	97	73	97	111	10	487	10	56	10	37	10	10	10	63	10	104	305	181	10	57	10	49	10	10	13	730	26	221	10	1701	10	10	101	10	10	10	10	10	226	10	47	61	10	10	10	10	10	10	10	39	10	10	340	10	10	10	50	10	94	10	10
X03473_at	68	187	10	10	44	64	10	88	10	183	10	50	10	10	36	43	16	10	183	31	10	10	99	43	10	87	10	10	150	29	121	48	14	15	10	10	86	51	10	79	45	47	10	19	34	11	10	41	10	10	51	190	43	10	352	94	36	36	143	129	10	10	103	266	74	61	49	38	70	240	186	358	144	187	33	39	227
X04143_at	10	174	10	10	52	151	260	10	361	202	32	185	291	10	10	126	10	151	10	138	10	251	241	39	19	10	26	238	10	42	47	10	262	10	66	56	150	10	10	49	101	98	63	199	83	66	98	10	33	30	268	173	38	10	35	15	57	10	10	10	10	88	18	25	10	30	35	10	156	160	86	30	115	10	83	113	10
X04325_at	30	211	94	99	10	49	76	111	46	169	331	98	10	32	10	235	25	154	10	156	10	10	86	130	296	10	10	10	32	10	429	48	218	293	10	10	141	97	10	31	193	10	64	10	32	344	48	10	10	81	162	283	120	10	108	329	227	10	66	253	10	10	10	472	10	29	29	48	67	100	43	10	191	10	204	54	41
X04741_at	10	10	10	10	10	10	710	10	137	10	10	76	10	10	10	403	10	630	10	10	10	10	639	526	710	10	10	246	10	10	944	10	10	10	10	10	10	10	10	10	10	10	10	10	116	3262	22	200	359	10	10	122	10	10	43	10	10	10	10	10	10	10	10	10	10	131	10	10	10	33	10	10	10	10	10	516	10
X04898_rna1_at	41	10	441	10	10	10	18	10	10	10	10	10	104	10	10	51	10	176	10	10	18	1021	21	30	101	10	10	10	10	41	10	10	10	10	118	10	10	10	10	18	110	10	10	10	241	108	104	10	10	323	222	10	10	10	10	144	10	10	10	362	10	10	62	133	11	30	400	76	91	272	10	20	15	103	113	10	10
X05323_at	10	85	133	164	641	47	10	80	10	39	11	73	10	219	298	10	64	77	448	10	93	10	12	61	67	142	10	73	107	12	22	61	10	249	10	96	137	176	122	41	10	10	10	177	59	47	10	954	10	300	27	10	101	793	47	53	151	143	317	97	10	10	57	10	252	227	130	165	97	100	107	98	10	55	311	149	42
X06614_at	10	318	655	607	165	387	558	381	1074	406	798	1092	217	10	10	268	49	421	182	209	10	10	172	10	187	10	208	10	10	98	10	10	553	188	10	158	317	1313	10	218	416	363	166	1362	109	107	10	39	275	243	26	355	372	44	215	81	141	10	29	10	160	10	10	10	10	307	200	10	161	100	60	148	12	10	333	10	10
X06745_at	97	171	882	13	308	267	115	83	64	267	97	114	153	106	20	366	16	323	222	25	66	155	162	213	278	129	10	155	10	10	862	98	540	368	10	159	124	616	125	161	10	10	10	268	122	623	238	111	199	593	10	750	184	128	552	10	135	54	61	10	10	10	10	10	127	101	10	18	59	339	19	125	10	10	10	10	219
X07695_at	706	10	10	269	431	15	10	10	235	229	10	93	10	1488	1970	219	10	10	10	10	942	10	147	252	149	10	30	258	343	10	244	10	10	10	1516	124	29	87	10	170	10	10	1060	172	10	364	10	10	416	260	10	10	10	55	10	10	10	125	10	90	10	10	10	10	10	350	40	802	10	10	10	10	10	10	231	10	10
X07767_at	233	2000	1416	1122	104	1089	1591	94	53	2397	537	2186	814	463	10	357	184	10	502	10	10	656	146	236	530	10	10	156	10	77	1045	10	2723	1185	10	878	1162	1604	372	356	479	440	10	1366	54	1309	72	10	782	307	1170	1002	338	314	957	10	425	72	425	10	10	10	10	10	32	189	92	433	344	241	368	348	159	10	10	10	10
X07834_at	252	473	825	519	405	577	162	114	152	713	49	1354	354	106	10	73	31	334	10	48	10	1848	10	74	151	10	10	91	10	156	358	695	10	1655	524	508	45	334	10	31	148	400	75	173	166	269	10	235	12	582	228	118	199	10	377	10	400	622	10	10	10	10	25	10	116	43	18	48	10	10	10	23	45	10	15	13	10
X12458_rna1_at	10	10	380	10	10	10	142	10	45	151	17	37	301	10	10	10	10	45	506	10	10	257	10	210	10	10	210	10	112	10	10	10	958	10	10	79	23	10	10	10	10	155	10	35	10	1280	10	94	718	92	10	984	10	160	313	10	68	32	22	10	163	10	10	3060	10	10	10	522	10	275	10	87	112	10	56	65	10
X12517_at	10	10	10	10	10	10	10	10	1055	10	10	10	562	10	10	333	10	10	10	123	10	10	10	10	10	10	10	10	10	579	1330	411	1357	10	10	10	10	10	10	10	10	295	10	10	10	283	321	678	422	10	10	786	883	135	89	10	10	10	10	10	10	10	10	10	10	10	10	10	10	77	10	10	10	10	10	10	10
X13334_at	349	3907	6692	1434	100	3224	10	452	272	6224	10	3374	4518	1677	38	10	28	261	10	10	10	7878	10	775	3801	10	10	380	10	1063	1959	1542	10	7593	10	12811	996	1907	698	1194	2822	1675	10	2164	295	1418	10	1585	2986	1241	2954	438	2270	10	2316	10	1500	5000	10	898	10	10	10	10	904	253	10	181	10	303	329	10	21	10	42	109	10
X14813_at	198	549	924	307	1211	876	10	605	10	266	10	552	34	10	10	272	10	10	124	10	10	10	153	68	21	10	10	10	77	10	1008	10	10	997	10	377	829	1537	241	260	10	10	10	959	10	726	16	207	10	212	517	323	237	50	725	15	314	10	263	176	10	10	10	10	72	418	143	10	571	382	185	595	10	10	10	10	245
X15875_at	223	10	208	10	37	10	42	179	10	10	10	10	10	96	10	67	10	10	440	10	10	10	10	10	10	10	10	96	10	10	354	409	10	534	250	110	10	201	10	10	10	10	10	56	10	415	10	350	10	134	10	106	144	31	216	10	10	66	10	247	10	10	10	10	105	279	10	94	687	87	158	107	10	10	10	10	10
X16354_at	25	185	69	31	10	10	38	65	69	171	10	37	10	113	85	267	10	19	868	10	93	178	176	304	41	102	10	37	10	10	106	113	1642	105	10	36	78	227	93	17	97	10	10	108	10	1184	10	19	149	91	165	112	106	10	153	10	47	10	10	106	10	10	10	10	58	16	10	48	10	124	75	149	22	81	34	10	95
X17025_at	417	60	325	1325	289	532	142	237	224	217	38	1165	1315	10	10	574	587	1458	416	63	10	1682	1523	243	110	10	10	12	10	171	1457	149	1343	580	10	249	1856	241	10	20	173	1520	134	182	374	1103	10	154	257	317	10	2275	523	114	420	103	126	10	10	10	10	10	10	10	10	530	10	324	226	317	206	286	415	10	741	214	10
X17094_at	10	272	10	85	10	386	551	276	10	314	195	479	517	479	10	10	131	10	10	10	10	422	10	10	270	10	109	10	10	10	456	10	250	977	10	147	68	597	10	54	204	217	81	67	10	10	10	10	65	98	127	10	108	96	72	10	79	167	10	10	204	10	10	3249	10	10	10	477	10	278	19	10	70	10	10	10	41
X51405_at	111	185	126	97	96	86	10	140	10	105	10	42	155	80	20	25	10	43	45	10	61	55	77	17	74	10	10	20	48	10	165	24	56	172	10	253	73	63	37	10	10	10	10	55	11	249	10	43	10	36	178	73	63	19	377	121	88	67	64	97	10	10	10	10	72	107	89	30	154	78	127	141	82	10	96	10	10
X51801_at	10	595	10	35	15	10	31	10	14	944	10	74	10	10	10	10	10	10	10	10	10	10	10	198	10	68	10	30	10	134	10	10	1316	10	10	16	396	10	10	10	10	10	10	18	10	10	10	10	10	10	10	86	10	10	13	10	10	10	10	10	45	190	10	300	10	218	10	10	10	33	149	10	10	10	13	10	10
X51956_rna1_at	359	888	551	656	114	215	771	443	10	1011	487	116	1081	10	157	10	15	10	599	10	199	1540	10	10	312	10	10	24	36	10	109	130	967	200	113	355	133	951	49	10	10	10	10	495	96	10	10	10	151	163	42	1513	10	10	48	162	162	172	187	32	10	10	45	10	10	74	61	104	54	10	332	340	10	10	115	10	66
X51985_at	10	438	10	1087	88	394	10	10	10	626	10	994	544	1393	10	10	10	10	10	10	10	10	10	10	441	10	10	10	10	10	10	10	10	10	458	722	491	201	10	10	10	10	10	1089	10	10	10	10	10	10	80	10	120	10	10	10	10	848	10	10	10	10	10	85	10	10	10	10	10	10	10	10	10	10	10	10	10
X52005_at	154	148	13	97	106	77	10	23	10	286	817	10	10	221	306	10	10	68	162	10	447	10	10	10	58	206	10	41	432	10	22	194	183	12	642	34	235	231	747	10	10	10	45	169	103	10	336	63	10	238	10	10	10	169	279	136	93	153	140	211	242	697	10	10	355	26	220	181	10	116	116	173	109	989	10	10	567
X52008_at	29	82	10	150	10	10	18	227	10	91	10	246	10	10	10	138	10	355	10	10	10	10	275	10	10	10	10	10	10	10	479	10	10	10	448	150	228	271	10	10	177	10	10	96	10	807	10	10	10	10	10	224	10	10	105	10	84	10	10	596	10	10	10	450	10	37	93	10	460	450	372	76	115	10	10	10	70
X52056_at	10	1048	1629	1202	10	986	791	314	53	1189	10	1473	1316	10	10	572	10	10	10	15	10	464	48	10	10	10	10	10	10	286	155	10	1094	762	10	589	617	2765	110	233	585	286	10	524	10	630	10	10	359	145	261	298	358	10	1027	10	381	376	10	10	10	10	10	10	10	89	127	119	357	567	29	491	65	10	10	10	10
X52638_at	144	269	63	329	10	32	212	118	10	301	928	47	307	10	10	385	364	10	10	601	10	705	266	178	181	10	10	155	10	498	493	247	92	345	401	260	57	334	10	155	242	267	10	173	186	909	10	10	120	233	80	10	444	10	136	12	264	324	120	10	10	10	10	10	56	258	10	202	456	22	479	10	215	666	152	10	10
X53414_at	10	219	322	174	194	30	563	10	221	212	10	340	10	10	10	10	10	10	10	10	10	104	10	10	10	524	10	10	10	10	10	10	176	10	10	124	292	10	10	10	10	10	10	245	10	545	10	10	10	10	118	930	563	227	10	10	10	10	10	130	10	10	10	10	10	10	10	10	10	65	10	10	10	10	10	10	10
X53795_at	10	10	429	79	153	232	196	413	175	10	326	219	81	152	10	10	10	10	10	10	10	68	10	210	39	10	63	10	34	77	98	10	153	10	75	322	41	328	10	10	15	10	18	200	10	10	10	10	10	10	143	584	131	10	11	91	50	10	10	298	69	10	10	10	10	144	361	43	10	10	10	10	44	10	303	43	89
X54816_at	195	90	141	65	167	124	10	10	10	123	10	49	10	373	327	12	138	85	10	191	314	10	10	208	209	156	10	167	102	186	312	344	10	189	189	42	10	109	194	108	10	10	11	50	10	155	10	41	10	81	197	132	181	211	10	59	194	219	365	10	10	10	86	10	224	143	115	224	90	281	223	182	10	155	10	10	167
X54871_at	22	10	10	10	10	10	10	28	10	10	10	10	10	10	293	341	10	106	422	24	10	10	26	94	44	10	10	45	130	10	128	66	10	101	10	10	10	10	10	10	10	48	10	10	44	176	10	326	10	42	10	52	126	379	147	15	104	263	212	46	10	115	10	10	266	184	10	279	214	10	213	97	195	10	21	144	10
X54925_at	565	590	32	10	103	4070	339	80	10	724	19	10	10	177	10	10	31	162	10	97	74	5346	10	91	470	10	10	18	48	10	2439	217	131	170	42	10	10	564	130	71	29	42	504	10	91	62	50	10	10	10	77	10	10	10	22	18	15	15	46	10	10	11	10	10	25	82	66	10	10	22	10	10	29	10	10	10	10
X55448_cds2_at	81	446	208	51	10	103	569	374	152	702	258	160	370	66	195	249	203	10	696	10	10	10	10	281	59	10	10	10	10	10	269	10	1810	359	51	10	244	352	10	136	274	164	10	260	21	1107	10	27	274	28	10	380	10	71	264	135	10	10	14	47	10	10	154	240	10	10	86	183	10	186	72	205	65	10	56	10	51
X55885_at	52	77	795	785	307	57	29	849	10	199	675	296	10	553	285	125	10	10	913	10	10	192	10	676	1104	10	10	287	98	123	265	312	32	391	10	197	515	827	10	10	10	11	10	286	256	1040	10	54	10	65	100	364	397	10	250	98	182	270	200	372	10	10	10	98	326	10	10	458	166	259	10	281	10	10	430	10	10
X56677_at	10	254	27	13	173	223	52	10	226	327	10	211	10	10	10	14	10	10	32	17	10	10	34	145	68	192	196	10	10	58	10	51	312	37	245	87	273	145	72	10	10	103	16	169	10	224	79	10	24	10	10	97	10	10	83	10	10	91	52	10	10	10	30	2837	10	130	10	161	10	54	26	159	10	279	10	121	53
X57129_at	10	31	19	10	456	60	440	87	214	10	10	79	10	10	10	10	10	10	43	10	10	10	10	10	10	10	10	10	10	10	87	10	104	60	99	10	54	2811	10	10	10	10	10	547	10	10	887	517	10	10	10	423	10	178	179	10	10	10	10	10	10	10	10	10	10	10	26	10	10	371	10	10	10	10	14	10	10
X58079_at	10	1732	10	10	10	10	10	10	10	2586	10	10	10	50	46	10	10	10	10	10	18	10	10	10	10	98	10	10	10	10	104	10	10	10	10	10	10	10	998	10	10	10	10	96	10	10	10	10	10	10	67	10	15	132	10	10	10	10	10	96	10	10	10	10	33	18	10	10	10	10	158	10	10	10	10	10	10
X59618_at	281	10	22	10	10	10	10	10	72	10	10	10	154	152	237	818	222	326	215	90	10	240	198	82	23	10	10	10	134	64	450	168	10	651	10	10	19	30	10	139	143	162	267	10	22	220	176	352	53	260	10	93	235	55	245	10	82	67	10	10	10	10	71	10	46	10	10	77	189	66	42	10	10	10	10	18	10
X59727_at	59	186	195	119	203	70	10	10	16	129	76	127	10	10	10	10	10	10	10	10	10	10	51	10	10	10	112	10	59	10	69	147	38	131	10	125	45	10	10	184	28	228	212	42	10	10	10	10	10	10	10	195	184	67	217	10	320	267	278	10	10	10	10	751	116	59	58	133	135	130	286	194	162	10	129	10	10
X59798_at	10	674	145	497	10	636	321	578	10	767	10	573	317	10	10	10	10	79	388	10	10	203	10	49	84	10	10	10	10	10	10	10	10	685	10	609	274	10	10	10	10	114	10	242	25	75	10	10	104	10	49	10	10	10	52	10	55	24	10	13	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10
X59812_at	128	3623	5103	3227	214	4902	1666	857	1738	2550	780	2262	3721	10	10	1240	10	1221	10	705	10	1842	648	10	575	443	10	329	10	1668	10	884	1073	4170	10	2902	589	27	750	15	1301	2505	60	2385	1058	2140	10	280	956	1837	216	223	383	10	1166	230	1244	995	66	10	10	10	10	10	10	121	591	10	597	10	305	10	311	10	292	10	10
X60655_at	21	228	226	291	41	231	10	169	10	42	10	589	166	101	10	529	163	209	218	10	10	59	280	413	204	10	10	252	10	300	384	402	10	431	10	282	278	484	10	134	93	10	10	10	153	352	148	10	10	230	257	45	356	218	179	10	435	119	166	184	10	10	120	10	35	235	10	238	133	100	202	35	10	10	137	10	202
