	GSM92240	GSM92241	GSM92242	GSM92243	GSM92244	GSM92245	GSM92246	GSM92247	GSM92248	GSM92249	GSM92250	GSM92251	GSM92252	GSM92253	GSM92254	GSM92255	GSM92256	GSM92257	GSM92258	GSM92259	GSM92260	GSM92261	GSM92262	GSM92263	GSM92264	GSM92265	GSM92266	GSM92267	GSM92268	GSM92269	GSM92270	GSM92271	GSM92272	GSM92273	GSM92274	GSM92275	GSM92276
212113_at	33.5	10.1	10	33.2	21.3	19.9	11.4	35.5	60.7	10	52	10.7	30	31.8	43.2	23.8	12	15.1	79.9	71.8	42	55.7	14.2	11.3	10.2	33.1	12.2	16.2	10.5	14	32.8	41.9	34.7	58.7	13.3	29.2	35.3
212127_at	84.6	53.8	87.4	17.1	83.7	16.4	16	10	104.5	50.9	52.7	21.9	62.9	158.9	95.9	169.6	58.7	19.6	115.5	102.9	80.7	133.4	157.4	26.9	169.1	94.1	143.3	76.5	102.1	164.1	151.5	75.5	124.1	93.2	122.4	20.6	60.8
212141_at	60.3	270.3	101.2	24.6	59.3	73.1	26.2	167.6	47.9	98.7	59.3	17.6	106.4	158.8	85.5	151.8	63.6	11.9	78.4	321.3	93.7	97.6	37.8	113.9	17.4	77	171.5	17.8	89.8	95.7	111.3	67.2	41	83.4	93.4	27.8	15.6
212146_at	32.9	41	11.9	37.4	19.4	21.4	35.8	10	30	50.4	23.8	60.1	10	22.2	49.5	27.5	13.2	57.5	10	33.3	65	55.4	10	21.8	82.8	19.9	19.9	40.1	38.6	10	41	29.5	40.3	75.3	52.2	45	48.9
212147_at	20.2	10	17.2	32.2	10.6	31	11.5	54	85.4	69.5	44.7	19.1	26.8	83.7	47.7	24.8	16.8	38.8	52.1	50.3	37.6	78	69.4	21.3	38.9	34	10	10.9	39.5	57.7	34	74.4	36.9	28.8	55.4	21.5	16.4
212153_at	163.6	51.1	165.6	200.5	159.1	194.6	168.4	178.4	191.6	157.7	140.2	36.1	34.9	109.9	197.7	169.1	125.1	40.3	69	182.5	218	126.7	304.6	92.7	260	128.2	92.8	229.7	153.4	200.8	148	215.1	120.6	218.9	52.9	172.7	191.2
212154_at	43.5	37.2	57.4	49.5	62	52.8	117.1	50.3	10	10	75.4	10	33.4	17.1	55.4	17.1	10	25.7	54.5	29	63	10	37.2	57.7	55.2	24.3	34.3	10	27.9	33.6	67.3	17.4	62.7	40.8	17.4	52	31.8
212158_at	58.1	49.5	60.4	18.3	51.9	45.7	114.4	39	31.8	10	151	11.8	10	18.5	61.9	11.2	10	49.2	65.3	30.4	113.9	13.9	36.5	80.2	74.1	51	12.9	26.1	44.6	71.1	66	11.5	71	33.3	41.4	108.5	65.9
212186_at	64.6	180.4	23.5	27.7	240	50.1	24.8	120.7	33.4	80.8	339.1	39.5	179.7	376.7	187.5	198.8	56.9	82.2	119.1	320.3	199.2	99.5	46.9	158.5	89.5	125.8	25.2	28.6	339.1	212.5	208.5	113.5	88.3	101.3	90.2	25.7	142.3
212187_x_at	57.8	209.3	79.5	21.6	97.5	134.2	293.6	91.6	21.9	28.6	49.9	57.5	86.1	12.1	148.8	17.6	71.8	71.2	75.4	23.9	51.9	32.7	74.4	153.1	18.6	55.7	70.4	104.8	54.6	66.8	220	73.5	182	55.7	259.5	60.5	50.4
212188_at	89.9	98.5	121.3	17.7	104.2	77.8	94.7	68.8	69	10	32.8	11.3	13.1	10	73.6	10	12.4	71.3	81.9	149.9	15.6	10	15.3	56.8	96.8	69.9	13.6	208.5	35.7	27	42.8	50.4	53.3	10	86	71.9	34.9
212192_at	156.1	203.4	265	51.7	153.5	112.4	190.6	97.8	108.4	24	67.2	14.9	29.9	14.1	156.4	36.5	45.6	60	118.5	350.4	46.7	44.4	35.4	121.5	143	49.6	119.4	563.1	42.5	119	152.4	49.5	114.2	38.7	83.2	131.1	41.8
212224_at	346.9	12.8	168.5	245.8	19.5	410.9	151.3	19.2	10	10	21.8	10	152.8	191.6	145.8	10	82.7	10	30.2	187.5	10	224	64.9	18.3	10	463.2	163.7	17.4	19.4	34.9	165	26.9	17.2	197.2	21.5	74.2	10
212253_x_at	24.5	13.3	82.6	165.2	49.8	11.5	28.2	37.9	48.6	18.3	46.1	28.7	56.3	48.2	69	10	49.5	48.6	53.4	17.4	14.3	33.7	34.9	41.1	71.6	65.1	33.5	61.1	67.3	16.7	59.2	38.3	93.1	55.2	61.8	82.7	46.7
212259_s_at	34.3	35.3	21	64	33.5	17.9	58.7	71.2	36.8	37.5	14.2	78.5	10	10	12	10	58.8	51.6	10	29.6	31.4	68.2	19.5	29.3	48.6	10	50.2	79.8	10	10	10	78.8	42.9	46.2	60.7	100.1	27.4
212263_at	10	68	56.8	49.6	62.8	84.9	62.9	36.6	10	73.2	59.2	10	10	10	56.9	10	10.9	30.1	64.9	59.2	49.6	18	90	59.3	87.8	10	77.5	38.9	45.5	13	48.2	47.2	92.3	19	73	80.2	43.2
212265_at	39.5	60.8	65.4	43.2	80.3	98.3	112.1	82.2	32.7	177.4	45.6	10	41	17.9	57.6	19.1	28.9	62.3	50.7	60.5	67.1	45.6	103.2	50.7	83.5	43	80.5	56.7	39.2	20.5	38.9	48.7	93.2	44.5	76.9	100.8	53.2
212283_at	11	12.2	24.9	11.2	42.9	12.6	23.6	28.6	37.5	10	13.9	43.6	52.4	43.9	30.6	24.5	18.1	84.8	49.5	15.5	36.7	17.3	62.4	47	45.5	43.8	14.3	89.5	44.1	24.2	49.8	54.6	38.4	13.9	10	44.1	82.2
212286_at	41.2	49.7	84.8	64.3	69.4	40.1	47	46.8	29	34.1	26.7	10	18.7	55.9	41.1	32.6	34.1	45.8	16.5	68.5	44.2	87.6	10	58.8	80.8	10	66.1	24.1	10	29.5	48.9	43.1	25	48	45.8	54.6	14.7
212292_at	33.7	26.1	29.6	20.1	20.5	38.1	30	25.8	22.2	26.6	29.8	39.5	10	12.4	21.2	23.4	36.9	10	10	34.5	16.6	34.8	14.9	10	10	32.8	17.4	40.2	18.4	48	18.5	31.4	55	31.9	34.3	39.9	48.1
212324_s_at	122.4	20.1	93.1	95.8	37.8	18.2	12	45.4	61.7	10	55.6	16.9	55.7	58	41.2	10	89.5	112.2	11.1	59.9	27.6	64.7	24.9	10	41.8	56.9	30.8	60.5	54.9	20.1	77	83.1	71.9	131	50.1	58	63.3
212328_at	35.1	74	43.3	69.5	47.5	51.6	42.5	36	10	24.5	25.4	10	12.3	50.1	72.7	26.9	19.3	10	69.5	11.5	30.9	22.8	44.1	22.3	84.9	17.2	60.9	103.7	36.4	26.2	49.4	55	38.4	10	36.5	30.1	41.9
212332_at	17.5	56	30.1	35.6	96.4	46	18.8	13.7	63.7	23.9	67.2	61.6	48.3	30.6	39	32.5	71	43.3	58.4	74.1	106.3	98.5	15.8	69.5	73	10	46.2	27.6	87.1	53.4	57.3	86.5	23.4	78.7	62.6	71.9	54.7
212343_at	26.4	23.4	43.9	97.6	60	10	13.8	31.6	16.9	25.7	98	77.6	35.4	37.7	67.5	36.9	17.7	23.4	123.3	38.5	80.9	95.2	30.3	43.8	92.4	67.7	24	10.8	118.1	11.6	68.8	58.4	55.5	45.1	129.1	94.3	58
212344_at	139.1	161.5	285.5	35.2	216.7	166.1	583.8	149.4	43.4	10.6	255.7	55.8	104.5	59.7	277.7	40.2	11.6	200.5	172	74.4	186.6	10	80.8	98.7	157.7	105.2	60.6	122.3	118.9	105.5	181.7	56.2	272.1	178.5	135.7	310.5	208.2
212349_at	10	23.1	41.8	16.8	18.7	60.5	16.8	139	40	76	31.3	76.6	82.8	81.9	20.4	58.3	27.9	11.2	58.3	34.1	85.6	80.2	10.2	147.8	45.2	130	28.1	29	40.3	58.7	21.7	48	50.2	45.5	123.5	107.1	55.4
212353_at	259.2	257.3	532.9	57.9	274.5	471.1	1037.8	259.1	64.9	71.7	355.2	10	120.3	46.3	466.3	71.8	32.8	159.2	199.7	66.1	261.9	47	116.5	132	337.3	138.8	73.5	84.7	242.2	164.3	197.4	80.7	439.7	307.8	344.2	342.7	304.5
212354_at	380.9	304	685	72.6	351.9	631.1	1153.9	347.7	68.1	91.4	479.1	42.3	157.9	47	471.1	71.6	66.6	316.8	318	66.6	367.8	68.2	229.2	218.7	278.3	189.4	102.5	96.6	349.7	262.5	286.4	143.1	531.9	490.5	240.2	522.1	635.4
212384_at	28.1	10	13.6	21	17.2	20.4	10	46.9	57	22.6	23.8	24.3	32.3	10	37	36.6	50.7	19.3	14	16	43.9	41.9	19.2	44.9	45.1	44.4	21.9	33	29.9	17	27.7	23.5	10	32.8	10	24.3	36.6
212385_at	39.8	54.2	60.4	10	59.3	46.3	114.3	61.9	32.7	10	58.4	10	33.7	13.6	40.4	11.9	10.3	21.3	55.6	19.8	41.4	36.8	13.3	34.2	10	38	35.4	36.9	30.1	24.1	38.7	30.9	66.1	32.5	27.3	45.9	51.2
212393_at	37.1	64.8	17.9	90.9	10	30.8	37	10	95.4	68.9	17	51.9	49.6	71.4	38.9	64.7	33.4	53.7	56.2	86.9	50.9	80.7	91.2	10	57.5	80	43.7	65.3	54.8	27.6	38.8	64.1	65.1	60	138.6	52.4	105.8
212417_at	37.3	39.5	41.1	11.8	62.3	39.4	133.2	38.9	23.1	10	70.7	18.7	40.5	22.9	16.7	12	75.7	14.5	39.4	68.3	49.2	12.8	10	31	18.8	10	23.6	16.6	18.2	28.1	75.6	41.4	19.4	10	25.6	11.1	10.6
212423_at	88.3	120.9	106.4	64.1	102.8	149.5	192.9	102	122.5	52.1	232.5	76.5	192.3	24	162	100.5	20.1	55.5	219.3	46.7	286.3	124.3	69.7	224.5	110.7	70.6	13.8	19.6	97.4	83.1	102.9	82.8	78.9	91.8	257.1	195.7	369.8
212448_at	10	10.8	10	19.2	31.4	16.6	10.3	28.6	10	11.5	20.9	14.7	10	32.3	52.4	10	201.9	31.2	14.6	54.3	14.1	21.3	91.6	18.9	15.2	10	10	114.5	16.6	10	111.3	14.9	16.9	15.2	10	13.7	61.2
212457_at	72.8	12	51.4	42.6	101.2	103.6	26.5	49.5	46.3	58.8	90	37.3	133.8	35.6	107.1	69.1	12.5	25.8	79.3	60	107.2	104.6	51.7	52	182.5	120	44.1	16.5	74.5	10.9	23.4	74.3	58.6	47.8	129.1	68.2	16.9
212464_s_at	728	634.8	1539.9	14.3	1055.8	2017.2	1558.5	2089.6	45.7	51.1	2090.5	75.4	212.5	159.1	1807.1	370.1	10	457.9	1473.2	78.6	3473.8	30.4	803.5	355.6	841	993.8	530.9	65.6	1334.5	699.5	521.6	196.1	968.2	669.8	569.2	869.5	905.5
212529_at	56.5	64.4	53.7	48.5	70.6	60	40.7	82.9	68	45.8	101.7	18.3	90.5	68.1	34.4	88.1	50.2	10.3	63.8	58.6	55.2	58.3	14	66.3	10	54.6	47.9	13.3	74.1	14.8	31.7	51.9	69.9	67.4	48.6	58.7	13.6
212531_at	2587.5	1413.6	2878.9	3162.3	4389	6308.5	153.7	431.1	404.6	226.4	200.7	645.1	524.4	1875.4	1600.6	1480.7	1690.1	356.4	314	3897.4	229.7	2546.9	199.7	519.6	384.9	801.5	507.7	503.7	143.8	406.9	920.9	4033.4	3594.6	1129.6	163	2498	267.6
212555_at	10	11.2	16.9	22.3	78.4	10	10	18.8	16.6	27.3	51	11.3	15.7	21.6	13.2	32.5	16.9	20.9	18.1	15.4	43.7	16.1	13	59	37.6	15.5	25.5	10	45	96.3	44.1	16	59	65.1	11.1	38.5	15.7
212583_at	23.8	33	31	23	28.7	37.7	21.8	46	48.5	37.4	10	36.4	10	35.9	36.2	19.3	22.1	10	31.3	25.8	49.9	35.8	53.2	18.4	38.8	10	10	31	43.3	17.4	19.5	10	14.7	12.5	38.8	19.7	25.4
212587_s_at	55.7	72.6	60.1	18.1	158.8	70.4	97.4	38.4	16.3	10	14.8	10	25	15.5	69.9	35.2	27.4	52.4	23.1	13.5	58.3	54.3	86.5	73.4	72.7	19.3	100.9	73.3	25.3	38.4	62	69.7	53.2	16.6	58.7	38.3	24
212592_at	288.6	51.5	105.5	237	539.9	20.4	97.5	102.2	15	18.1	10	10	20.3	221.5	37.9	28.8	76.9	196.2	27.8	29.7	72.7	606.4	45.7	222.8	22.7	301	106.5	539.9	10.7	17.9	247.5	10.4	133.1	10	146.2	358.5	11.6
212630_at	30.9	16.6	21.1	58.3	16.8	10	24.4	36.5	73.3	10	30.9	46.6	22.4	195.7	64.1	58.9	10	35.6	15.9	25.4	10	63.9	10.8	61.1	115.1	53.4	31.1	10	76.5	53.6	11.8	22.8	27.8	129	44.7	198.2	11.2
212667_at	214	214.5	285.4	96.7	173.4	472.7	636.4	218.2	69.6	51.9	209.6	40.6	122.3	33.8	271.6	83.8	26.7	214.9	160.5	54.5	299.6	13.7	83.5	161.5	217.9	204.7	78	79.5	105.9	143.1	127.4	81.1	356.5	193	379.2	435.9	167.4
212670_at	30.7	10	45.9	10	18.5	58.9	63.9	10.4	10	10	48.5	16.2	14.5	10	50	10.2	14.1	15.4	75.6	10	63.2	10	16.3	10	27.6	14.7	10	16.3	13.2	10	14.6	10.3	144.9	66.7	206.9	165.1	17.5
212671_s_at	72.1	89.6	45.1	78.3	24	50.2	366.8	28	26.5	10	39.4	32.6	17.1	15.6	85.4	28.3	10	69.2	10	36.9	24.7	64.1	91.1	146.6	54.6	46	252.6	307.8	10	23.4	145.9	17.9	197	52.2	51.5	97.8	52.1
212682_s_at	55.2	97.2	10.6	62.3	101	75.8	30.5	15	14.1	48.1	10	44.7	27.7	41.5	52.5	56.7	23.8	11.3	62.9	173.2	96	145.5	29.6	57.5	70.3	109.5	144.3	72.9	74.6	50.9	104.5	73.8	105.4	30.6	70.4	67.3	54
212695_at	10	23.8	19	12.2	59.1	12.1	10	21.2	63.2	72.2	10	26.4	36.5	13.9	10	33	20	12.2	10	16.5	52.4	47.3	22.6	55	14.3	27.7	10	10	14.2	13.5	15.2	93.7	10	19.9	32.6	10	10
212700_x_at	10	30.5	23.2	10.1	26.4	25.4	21.6	52.3	10	27.9	44.4	42.3	29.5	18.7	14.1	38.8	41.5	10	30.4	32.4	38.2	45.4	37.6	58.4	39.6	10	33.7	36.3	26.6	17.2	10	17	24.6	30.5	10	48.2	58.6
212715_s_at	10	18.3	21.5	42.8	12.2	27.2	10	72.5	66.8	58.7	10	43.5	87.7	43.1	56.6	50.4	49.5	10	88.9	64.7	84.1	73.2	27.6	52.1	72.4	63.7	17.2	61.5	70.2	20	48.4	55.6	43.4	22.8	61.4	44.2	78.8
212768_s_at	540.3	192.2	10	12.8	1380.2	769.2	164	1199.2	67.9	98.5	10	319.4	937.2	473.8	75.9	36.1	3457	10	316.8	14.9	995.5	2577.9	4391.7	79.5	17.8	1936.8	10	31.9	10	10	117.9	2923.6	1467	10.5	10	2717.7	16.8
212775_at	10	31.9	18.7	63.7	11.6	35.5	42.8	71.5	14.6	26.4	10	77.8	24.2	10	213.1	10	52.6	19.6	221.4	10	30.8	30.5	39.3	10	20.3	22.4	17.6	10	10	10	11.2	17.5	65.7	80.5	169.8	45.5	19.1
212776_s_at	36.7	26.4	37.8	74.3	37.9	36.7	25.8	83.3	17.4	41.6	34.4	93.7	12.3	23.2	182.3	12.2	46	40.3	158.9	15.4	37.1	63.2	54	21.7	22.1	35.1	37.5	13.5	10	14	10	24.1	76.9	69.1	144.1	25.1	10
212803_at	23.3	57.5	31.1	13.4	36.1	67.8	10	13.7	14.9	20.3	24.7	40.8	79	42.1	28.2	32	10.9	10	53.7	10	10	15.6	36.8	31.6	11.8	32.9	34.5	11.2	19.8	47.5	23.5	24.1	39.3	40.6	75.7	40.8	32.9
212806_at	16.6	30.1	24.6	10	26.8	23	46.8	48.4	21.9	31.2	22.9	47.6	18.8	24.7	14.5	26.8	55.1	56.8	16.5	204.3	16.7	28	53.2	13.3	20.3	10	21	59	12	10	62.4	36.6	21.3	43.6	17.5	46.4	44.3
212850_s_at	49.9	12.4	28.7	28.8	60.2	47.2	16.5	142.2	81.6	29	1845	24.1	28.5	237.1	69.4	355.6	75.3	75.7	244.9	85.9	342.8	77.9	832.4	55.5	95	113.2	16.9	38.5	326.1	54.9	127.4	62.9	38.7	48.4	370.7	99	71.3
212859_x_at	1409.8	702.5	696.8	445.2	652.4	712.2	564.3	417.6	124	145.3	319	657.9	137.4	1712.7	561.2	141.2	1207.4	270.1	721.6	676.1	358.4	1360	323.6	519.8	830.2	230.7	1335	121.4	377.2	1458.9	515.9	393.9	158.8	192.9	811.6	369.1	175
212914_at	10	44.1	24.8	47	46.2	19.6	82.2	33.6	53.1	31	44.4	20.5	10	26.8	10.1	34.1	51.7	41.6	45.9	109.6	39.7	60.4	17.6	68.2	75.3	39.4	14.2	79.2	54.5	42	48.6	92.9	58.6	41.4	84.5	80.5	66.5
212915_at	13.9	37.7	27.2	17.5	21.4	10	94.2	35.8	17.5	10	23.5	10	66.8	10	47.5	59.5	34	42.9	67.4	24.3	24.1	22.8	23.4	69.2	30.3	19.7	47.1	14.3	10	21.7	35.8	23.3	25.7	10	26.9	29.1	14.5
212935_at	10	54.1	58.9	195	16.7	18.9	10	41.9	45.4	126.8	30.6	200.8	68.4	10	48.6	65.7	31.5	36.2	63.8	27.8	81.4	71.7	28.7	14.6	34.2	131.4	10	15.7	21.7	10	22.6	19.1	40.9	190.6	148.3	179.1	40.9
212942_s_at	235.1	120.8	293.4	229.6	252.6	217	259.2	536.9	202.6	87.2	134.3	68.3	243.4	203.4	110.1	241.3	215.9	133.8	555.3	49.7	62.4	349.5	713.5	93.8	82.2	71	96.4	66.3	425	139.6	310.8	132	112	124	109.9	74.4	586.2
212945_s_at	29.4	51.5	24.7	10.2	47.9	65.8	20.4	65.7	29.8	44.7	53.8	16.4	11.6	24.4	10	16.8	10	15	44.8	36	34.5	32.9	26.7	64.2	36.7	40	22.5	15.5	85.7	69.1	27.7	10	40.9	60.2	75.2	58.6	10
212949_at	49.7	10.1	79.4	10	12.9	12.5	10	84	38	36.6	75.6	12.6	10	87.1	41.8	41.5	12.6	10.3	81.9	76.5	42.4	29.5	28.1	42.8	11	15.6	108	13.3	84.1	29.2	89.9	16.2	84.1	52.5	31.8	10	36.9
212951_at	23.2	14.8	44.4	10	35.9	75.8	44	10	65.7	18.4	10	13	10	10	12.9	39.3	10	10.5	77.4	10	56.1	10	10	10	67.6	10	59.7	10	34	10	23.6	61	79.9	10	11.2	45.5	56.5
212954_at	24.5	86.1	51.7	15.4	49.4	10	62.6	63.8	91.8	41.6	68.6	19.6	14.7	48.1	69.9	37.8	17.9	21.1	80.6	86.5	65.8	24.9	50.1	47.1	26.8	20.5	66.7	10	64.5	56.5	119.2	41.9	64	26.2	81.9	23.5	27.4
212964_at	16.9	25.4	35.6	17	10.1	47	17.3	48.8	47.9	44.9	10.9	23.6	21.9	65.7	65.3	82	73	10	56.1	20.9	70.1	74	70.6	29	92.1	148.5	73.3	38.1	69.5	48.2	37.9	32.6	85.8	63.5	85.4	20.6	63.4
212998_x_at	93.2	90.2	43.2	47.8	107.6	104	167.1	85.8	27	10	73.3	10	10	11.3	51.2	34.6	10	16.1	10	25	41.6	84.8	112.9	75.2	56.2	33.9	307.1	328.8	33.7	10	137.8	95.1	130.8	68.3	91.6	126.5	24.9
213017_at	260.5	160.6	465.3	441.8	256.1	106.8	82.8	105.1	34.5	56.4	56.1	19.3	57	215.9	149.9	65.3	318.2	185.2	34.9	278.3	69.5	68.5	41.4	64.5	145.1	38.6	340.6	74	46.8	70.5	215.5	75.2	54.3	176.1	35.6	24.1	42.7
213036_x_at	217.4	408.6	64.6	401.6	98.5	132.1	18.1	41.6	10.1	252.3	10	142.3	12.5	10	68.1	106.2	218.8	194.9	193	215.3	151.3	210	138.3	56.8	40.1	19.2	112.2	115.5	15.7	43	324.7	185.2	10	63.4	108	82.5	10.6
213038_at	141.4	254.2	109	143.7	115.7	153	94.9	55.6	129.3	89.3	82.9	60.7	10	205.2	69.6	67.6	116.2	163.3	29.1	114	25.5	86.8	10.4	89.8	73.7	10.4	272.4	140.9	127.9	105.3	120.9	77.9	148	146.1	70.7	79.3	111.2
213057_at	10	35.3	19.3	31.9	10.9	33.2	52.5	11.2	13.5	52.4	17.9	31.9	49.4	17.5	10	24.4	42.6	27.2	16.9	23	46.4	29.5	48.6	10	10	36.9	34.6	18.9	29.2	10	39.4	19.3	22.5	44.1	16.6	41.9	26
213059_at	293.3	433.8	395.4	838	565.1	329.7	306.9	94.7	126.5	287.5	262.1	364.1	62.3	311	451.1	41.5	678.3	650.5	150.6	1487.3	143	413.4	799.9	157.2	755.4	130	661.8	616.4	21.8	227.7	823.5	243.5	144.6	169.3	207.3	604.5	283.5
213069_at	73	17.9	129	46.1	112.4	115	159.1	43.6	24.4	23.8	74	10	31	17.6	87.8	41.8	10	88.3	52.4	14.2	96.1	11.1	13.4	61.1	62	32.8	98.8	40.7	40.6	44.8	67.6	10	119.8	74.9	74.9	129.8	87.2
213094_at	220.4	239.1	48.9	522.3	143.1	20.2	32.1	29	39.6	32.3	67.4	28.8	53.7	51	39.5	56.8	69.7	42.9	24.9	92.6	31	32.2	76	50.1	57.7	27	610.6	81	79.3	108.2	136.4	40.7	13.4	20.8	29.7	26.6	37.3
213100_at	113.3	57.7	89.9	10	58.1	113.4	19.8	14.6	53.7	54.3	70.6	11.6	34.4	73.1	63.7	47.2	42.7	17.5	48.8	33	63.9	30.1	36.7	11.1	69.9	33.5	18.8	43.7	71.6	40.8	28.3	49.4	136.2	49.9	109.7	70.6	86.4
213108_at	29.7	10	39.7	31.7	10	21.9	77	36.6	61.5	50.2	19.2	86.1	63.7	10	10	34.2	72.9	41.4	26.4	18.7	35.8	52.6	44.5	33.6	43.9	35.9	41.8	55.4	31.6	10	66.3	41.4	28.3	33.9	75.9	35.5	24.7
213116_at	92.7	102	77.6	16.2	118.2	75.1	120.9	212.3	285	669.3	120.2	683.8	169.8	117.3	150.2	190	137.3	394	107.8	168.6	222.5	220.4	235.7	168.3	258.7	169.8	39.4	158.9	101.8	97.8	45.9	154.1	194.3	474.6	227.9	250.8	332.5
213138_at	16.3	15.2	33.2	73.5	21.4	16.6	29.4	42	42.9	57.6	47.1	62.5	49.4	10	43.5	46.3	25.8	64.3	49.3	22.7	14.9	61.8	40.5	28.3	57.4	12.9	52.8	10	10	46.8	15.7	48.9	21.8	57.4	57.8	68.3	37.2
213143_at	137.1	49.5	101.6	47.6	98.4	29.4	16	84	43.2	30.2	15.3	40.1	70.1	26.6	225.1	40.2	115.6	126	145.9	178.6	39.2	51.7	65.8	28.6	108.3	54.7	24.1	182.2	15	56.5	56.9	110.2	10	56.4	43	51.7	10
213144_at	12.9	19.1	13.9	62.9	40.9	10	19.9	71.1	18.7	44.7	79.4	20.1	17.9	70.1	32.3	45.3	14.4	33.4	53.3	56.7	11.2	56.4	23.7	62.5	19.6	74.1	50.7	22.1	39	56	71.1	55.3	76.5	75.5	66.7	90.2	45.8
213147_at	147.3	231	190.6	139.3	221.4	235.6	160.9	71.9	373.8	766.9	53	156.6	305.8	294.4	300.3	183	183.4	117.7	162.1	225.8	279.8	10	56.6	137	283.3	245.9	107.9	94.7	205.5	93.6	126.1	212.3	174.1	196.2	212.2	56.6	233
213148_at	49.6	47.1	67.4	33.4	10	10	19.8	36.7	12.9	20.4	10	35.9	10	10	71.3	19.6	30.3	50.1	54.8	73.2	10	18.1	34	10	11.7	38	10	103.1	10	29.4	27.1	42.7	10.7	43.1	10	19.1	10
213150_at	116	111.1	172.1	59.6	81.9	106	146.1	56.1	481	435.1	42.4	265.4	193.6	130.4	213.9	111.7	156.6	125.5	181	242.1	294.9	21.1	56.1	112.1	266.3	191	158	132	137.8	34.6	96.6	215.6	193.4	239.8	218.2	56.5	167.3
213157_s_at	10	28.4	34.4	11.5	34.4	10	47.4	38.9	10	10	20.5	19.7	26.7	41.1	25.9	10	33.3	36	25.9	33.3	46.3	10	80.4	34.3	30.3	21.4	10	42.4	46.3	31.3	35.4	39.4	10	10.4	53.4	10	10
213176_s_at	29.4	25.7	10	14.7	18.2	16.8	13.6	24	51.4	44.7	71.6	12.6	11.7	29.1	24	10	26.4	34	10	60.8	10	25.6	19.9	38.3	10	10	10	34.5	10	78.2	22.9	10	47.2	10	10	65.1	51.6
213194_at	40.7	77.9	51.7	23.1	39.9	38	37.4	94.7	10	13.9	26.5	10	89.4	57.4	45.9	54	10	19.9	65.8	10	46.1	13.4	38.2	98.8	39.6	97.1	99.4	19.9	45.7	23.5	23.4	74.2	48	19.4	58.2	69.2	40.7
213219_at	10	52.8	32.5	10.6	10	30.3	40.8	27.6	23.1	23.1	10	80.4	38.9	12.3	10	14.3	43.3	49.8	17.7	23.7	10	36.4	44	10	10	37.6	10	33.1	22	10	19.7	28.3	10	38.2	50.8	11.5	10
213230_at	76.2	80.6	34.3	59.3	42.7	160.5	41.9	39.9	10	10	10	27.8	10	36.5	87.2	10	12.3	16.4	10	10.8	19.7	11.3	13.1	32	72.1	46.8	39.8	105.8	10	64	16.5	10	31.3	116.3	33.6	41.9	24.7
213247_at	41.8	14.8	57.8	28.9	10.3	50.2	66.8	45	89.1	86.2	63.6	121.8	38.5	14.5	28	65.5	62.8	24.9	18.4	15.9	52.3	56.1	22.8	56.4	15.9	16.3	12.4	18.9	12	12.2	10	94.1	75.2	59.3	52.5	67.9	15.4
213258_at	96.6	66.9	109.1	450.5	111	46.1	70.8	40.7	18.7	30.8	51.2	11.2	30	67.3	47.3	25.7	10	25.1	36.2	10.2	50.3	17.5	33.9	42.3	76.7	49.6	42.5	31.9	38.9	45.3	21.3	18.2	57.2	15.9	60.1	78.2	67.1
213264_at	20.7	28.8	42.5	46.7	66.3	30.5	10	64.7	83.8	66.9	24.7	109.9	21.6	130.3	78.5	50.2	44.8	10	83.3	35.5	47.9	25.4	10.8	31.4	115.7	96.7	62.3	57.2	37	70.7	63.3	40.6	62.1	10	80.8	86.7	48.9
213286_at	34.9	97.3	44.9	48.2	42.5	10	102.7	58.3	41.5	75.8	21.9	10	48.4	19	11.6	88.6	66.7	22.3	31.5	17.8	10	40.7	10	11.9	10.5	40.9	10	35.2	12.4	10.2	13	62.1	10	49	10	49.2	10
213302_at	55.6	64.9	30.2	10	10	13.7	46.6	18.1	49.3	10	43.9	84.8	72.8	66.7	17.9	68.7	10	33.2	53.3	70.1	86.9	92.8	147.1	47.2	58	86.7	53.5	16.7	55.1	10	99.1	73.4	35.3	22.9	70.6	45.8	14.8
213309_at	33.6	53	10	10	33.3	72.6	60.4	61.7	10	10	26.8	10	10	11.6	10	10	45	10	10	75.8	32.8	41.5	42.4	37.1	24.7	10	44	42.1	11.1	39	37.6	20.2	10.1	10	21.7	18.1	10
213324_at	19	15.1	22	124	24.5	29.4	62.5	131.4	44.4	43.5	14.7	160.2	140.7	13.5	103.6	30.1	95.9	32.4	42.3	45.6	36.7	188.8	17.4	106.3	215.3	203	27.3	21	13.9	25.7	23.7	99.9	24.8	190	53.5	189.4	80.1
213329_at	34.7	10	47.6	31.6	36.7	35.3	31.4	29.4	14.6	40.5	32.9	10	34.8	40.2	10	23.1	11.1	21.7	43.4	48.1	12.5	19.7	33.6	15.7	44.4	23.7	36.7	11	37.1	36.2	35.3	32.7	33.1	38.7	21.7	19.7	23.4
213338_at	115.4	72.7	86.2	10	156	104.8	44.9	182.1	45.6	65.9	215.8	10	70.7	71.9	103.4	215.6	10	94.4	142.3	17.7	239.9	95.5	11.5	97.8	66.7	63.3	32.8	27.1	64.1	53.8	109.8	201.4	94.9	43.8	114	141.4	121.1
213343_s_at	10	21.4	10	10	10	16.2	15.1	83.2	12.9	82.5	10	89	87.8	11.8	37.4	10	10	20.8	184.4	10	10	219.1	14.4	289.5	12.7	218.5	52.6	11.1	14.4	11.3	10	78.2	15.5	14.2	14.6	26.8	10
